大陆央视,#genre#
CCTV-1 综合,http://154.12.60.186/xsj.php?id=cctv1
CCTV-2 财经,http://154.12.60.186/xsj.php?id=cctv2
CCTV-3 综艺,http://154.12.60.186/xsj.php?id=cctv3
CCTV-4 中文国际,http://154.12.60.186/xsj.php?id=cctv4
CCTV-5 体育,http://154.12.60.186/xsj.php?id=cctv5
CCTV-5+ 体育赛事,http://154.12.60.186/xsj.php?id=cctv5plus
CCTV-6 电影,http://154.12.60.186/xsj.php?id=cctv6
CCTV-7 国防军事,http://154.12.60.186/xsj.php?id=cctv7
CCTV-8 电视剧,http://154.12.60.186/xsj.php?id=cctv8
CCTV-9 纪录,http://154.12.60.186/xsj.php?id=cctv9
CCTV-10 科教,http://154.12.60.186/xsj.php?id=cctv10
CCTV-11 戏曲,http://154.12.60.186/xsj.php?id=cctv11
CCTV-12 社会与法,http://154.12.60.186/xsj.php?id=cctv12
CCTV-13 新闻,http://154.12.60.186/xsj.php?id=cctv13
CCTV-14 少儿,http://154.12.60.186/xsj.php?id=cctv14
CCTV-15 音乐,http://154.12.60.186/xsj.php?id=cctv15
CCTV-16 奥林匹克,http://154.12.60.186/xsj.php?id=cctv16
CCTV-17 农业农村,http://154.12.60.186/xsj.php?id=cctv17
CHC家庭影院,http://154.12.60.186/xsj.php?id=chc-jtyy
CHC动作电影,http://154.12.60.186/xsj.php?id=chc-dzdy
CHC高清电影,http://154.12.60.186/xsj.php?id=chc-gqdy
重温经典,http://154.12.60.186/xsj.php?id=cwjd
新播放方案测试组,#genre#
CCTV1测试,http://154.12.60.186/xsj.php?id=testcctv1
CCTV2测试,http://154.12.60.186/xsj.php?id=testcctv2
CCTV3测试,http://154.12.60.186/xsj.php?id=testcctv3
CCTV4测试,http://154.12.60.186/xsj.php?id=testcctv4
CCTV5测试,http://154.12.60.186/xsj.php?id=testcctv5
Astro AEC测试,http://154.12.60.186/xsj.php?id=testaec
Astro QJ测试,http://154.12.60.186/xsj.php?id=testqj
Channel 5 测试,http://154.12.60.186/xsj.php?id=testchannel5
Channel 8 测试,http://154.12.60.186/xsj.php?id=testchannel8
SPOTV 测试,http://154.12.60.186/xsj.php?id=testsportv
SPOTV 2 测试,http://154.12.60.186/xsj.php?id=testspotv2
大湾区卫视,http://154.12.60.186/xsj.php?id=testdwqws
大陆卫视,#genre#
湖南卫视,http://154.12.60.186/xsj.php?id=hunan
浙江卫视,http://154.12.60.186/xsj.php?id=zhejiang
东方卫视,http://154.12.60.186/xsj.php?id=dongfang
江苏卫视,http://154.12.60.186/xsj.php?id=jiangsu
北京卫视,http://154.12.60.186/xsj.php?id=beijing
深圳卫视,http://154.12.60.186/xsj.php?id=shenzhen
广东卫视,http://154.12.60.186/xsj.php?id=guangdong
大湾区卫视,http://154.12.60.186/xsj.php?id=gdwqws
重庆卫视,http://154.12.60.186/xsj.php?id=chongqing
