台湾频道,#genre#
台視,http://wanjiatv.net/hktv/litv.php?id=4gtv-4gtv066
民視,http://wanjiatv.net/hktv/litv.php?id=4gtv-4gtv155
中視,http://wanjiatv.net/hktv/litv.php?id=4gtv-4gtv040
華視,http://wanjiatv.net/hktv/litv.php?id=4gtv-4gtv041
公視戲劇,http://wanjiatv.net/hktv/litv.php?id=4gtv-4gtv042
中視菁采,http://wanjiatv.net/hktv/litv.php?id=4gtv-4gtv064
中視新聞,http://wanjiatv.net/hktv/litv.php?id=4gtv-4gtv074
台視新聞,http://wanjiatv.net/hktv/litv.php?id=4gtv-4gtv051
台視財經,http://wanjiatv.net/hktv/litv.php?id=4gtv-4gtv056
華視新聞,http://wanjiatv.net/hktv/litv.php?id=4gtv-4gtv052
民視新聞,http://wanjiatv.net/hktv/litv.php?id=litv-ftv13
民視台灣,http://wanjiatv.net/hktv/litv.php?id=4gtv-4gtv001
民視第一,http://wanjiatv.net/hktv/litv.php?id=4gtv-4gtv003
民視綜藝,http://wanjiatv.net/hktv/litv.php?id=4gtv-4gtv004
民視旅遊,http://wanjiatv.net/hktv/litv.php?id=litv-ftv07
民視影劇,http://wanjiatv.net/hktv/litv.php?id=litv-ftv09
采昌影劇,http://wanjiatv.net/hktv/litv.php?id=4gtv-4gtv049
中視經典,http://wanjiatv.net/hktv/litv.php?id=4gtv-4gtv080
中天亞洲,http://wanjiatv.net/hktv/litv.php?id=4gtv-4gtv109
中天新聞,http://wanjiatv.net/hktv/litv.php?id=4gtv-4gtv009
非凡新聞,http://wanjiatv.net/hktv/litv.php?id=4gtv-4gtv010
東森新聞,http://wanjiatv.net/hktv/litv.php?id=4gtv-4gtv152
寰宇新聞,http://wanjiatv.net/hktv/litv.php?id=litv-longturn14
寰宇新聞台灣,http://wanjiatv.net/hktv/litv.php?id=litv-longturn15

TVBS,http://wanjiatv.net/hktv/litv.php?id=4gtv-4gtv073
TVBS新聞,http://wanjiatv.net/hktv/litv.php?id=4gtv-4gtv072
TVBS精采,http://wanjiatv.net/hktv/litv.php?id=4gtv-4gtv067
TVBS歡樂,http://wanjiatv.net/hktv/litv.php?id=4gtv-4gtv068
八大精彩,http://wanjiatv.net/hktv/litv.php?id=4gtv-4gtv034
八大綜藝,http://wanjiatv.net/hktv/litv.php?id=4gtv-4gtv039
靖天綜合,http://wanjiatv.net/hktv/litv.php?id=4gtv-4gtv046
靖天卡通,http://wanjiatv.net/hktv/litv.php?id=4gtv-4gtv044
靖天日本,http://wanjiatv.net/hktv/litv.php?id=4gtv-4gtv047
靖天歡樂,http://wanjiatv.net/hktv/litv.php?id=4gtv-4gtv054
靖天映畫,http://wanjiatv.net/hktv/litv.php?id=4gtv-4gtv055
靖天戲劇,http://wanjiatv.net/hktv/litv.php?id=4gtv-4gtv058
靖天電影,http://wanjiatv.net/hktv/litv.php?id=4gtv-4gtv061
靖天育樂,http://wanjiatv.net/hktv/litv.php?id=4gtv-4gtv062
靖天國際,http://wanjiatv.net/hktv/litv.php?id=4gtv-4gtv063
靖天資訊,http://wanjiatv.net/hktv/litv.php?id=4gtv-4gtv065
靖洋卡通,http://wanjiatv.net/hktv/litv.php?id=4gtv-4gtv057
靖洋戲劇,http://wanjiatv.net/hktv/litv.php?id=4gtv-4gtv045
龍華卡通,http://wanjiatv.net/hktv/litv.php?id=litv-longturn01
龍華電影,http://wanjiatv.net/hktv/litv.php?id=litv-longturn03
龍華日韓,http://wanjiatv.net/hktv/litv.php?id=litv-longturn11
龍華偶像,http://wanjiatv.net/hktv/litv.php?id=litv-longturn12
龍華經典,http://wanjiatv.net/hktv/litv.php?id=litv-longturn21
龍華戲劇,http://wanjiatv.net/hktv/litv.php?id=litv-longturn18
i-Fun動漫,http://wanjiatv.net/hktv/litv.php?id=litv-ftv15
客家電視,http://wanjiatv.net/hktv/litv.php?id=4gtv-4gtv043
愛爾達娛樂,http://wanjiatv.net/hktv/litv.php?id=4gtv-4gtv070
亞洲旅遊台,http://wanjiatv.net/hktv/litv.php?id=litv-longturn17
豬哥亮歌廳秀,http://wanjiatv.net/hktv/litv.php?id=4gtv-4gtv006
CATCHPLAY電影,http://wanjiatv.net/hktv/litv.php?id=4gtv-4gtv076
影迷數位電影,http://wanjiatv.net/hktv/litv.php?id=4gtv-4gtv011
視納華仁紀實,http://wanjiatv.net/hktv/litv.php?id=4gtv-4gtv013
好消息,http://wanjiatv.net/hktv/litv.php?id=litv-ftv16
好消息2台,http://wanjiatv.net/hktv/litv.php?id=litv-ftv17
國會頻道1台,http://wanjiatv.net/hktv/litv.php?id=4gtv-4gtv084
國會頻道2台,http://wanjiatv.net/hktv/litv.php?id=4gtv-4gtv085
VOA美國之音,http://wanjiatv.net/hktv/litv.php?id=litv-ftv03
半島國際新聞,http://wanjiatv.net/hktv/litv.php?id=litv-ftv10
博斯魅力台,http://wanjiatv.net/hktv/litv.php?id=litv-longturn04
博斯高球台,http://wanjiatv.net/hktv/litv.php?id=litv-longturn05
博斯高球二台,http://wanjiatv.net/hktv/litv.php?id=litv-longturn06
博斯運動一台,http://wanjiatv.net/hktv/litv.php?id=litv-longturn07
博斯運動二台,http://wanjiatv.net/hktv/litv.php?id=litv-longturn08
博斯網球台,http://wanjiatv.net/hktv/litv.php?id=litv-longturn09
博斯無限台,http://wanjiatv.net/hktv/litv.php?id=litv-longturn10
博斯無限二台,http://wanjiatv.net/hktv/litv.php?id=litv-longturn13
