
臺灣 Taiwan,#genre#
AXN, http://cdn9.1678520.xyz/smt1.1.php?id=axn_twn
CINEMAX, http://cdn9.1678520.xyz/smt1.1.php?id=cinemax_twn
EYE戲劇, http://cdn9.1678520.xyz/smt1.1.php?id=eyetvxiju_twn
EYE旅遊, http://cdn9.1678520.xyz/smt1.1.php?id=eyetvtravel_twn
HBO, http://cdn9.1678520.xyz/smt1.1.php?id=hbohd_twn
HBO Family, http://cdn9.1678520.xyz/smt1.1.php?id=fyi_twn
好萊塢電影台, http://cdn9.1678520.xyz/smt1.1.php?id=hollywoodmovies_twn
MTV Live, http://cdn9.1678520.xyz/smt1.1.php?id=mtvhd_twn
TLC旅遊生活, http://cdn9.1678520.xyz/smt1.1.php?id=tlc_twn
東森新聞, http://cdn9.1678520.xyz/smt1.1.php?id=ettvnews
TVBS HD, http://cdn9.1678520.xyz/smt1.1.php?id=tvbs
TVBS新聞台, http://cdn9.1678520.xyz/smt1.1.php?id=tvbs_n
TVBS歡樂台, http://cdn9.1678520.xyz/smt1.1.php?id=tvbshuanle_twn
三立台灣台, http://cdn9.1678520.xyz/smt1.1.php?id=sanlitaiwan
三立戲劇台, http://cdn9.1678520.xyz/smt1.1.php?id=sanlixiju_twn
三立綜合台, http://cdn9.1678520.xyz/smt1.1.php?id=sanlizhonghe
中天亞洲台, http://cdn9.1678520.xyz/smt1.1.php?id=ctiasia_twn
中天娱樂, http://cdn9.1678520.xyz/smt1.1.php?id=ctient
中天新聞HD, http://cdn9.1678520.xyz/smt1.1.php?id=ctinews
中天綜合, http://cdn9.1678520.xyz/smt1.1.php?id=ctizhonghe
亞洲旅遊台, http://cdn9.1678520.xyz/smt1.1.php?id=asiatravel_twn
亞洲美食, http://cdn9.1678520.xyz/smt1.1.php?id=afc_twn
八大戲劇, http://cdn9.1678520.xyz/smt1.1.php?id=badadrama
八大第一, http://cdn9.1678520.xyz/smt1.1.php?id=badafirst
八大綜合, http://cdn9.1678520.xyz/smt1.1.php?id=badazhonghe
公視, http://cdn9.1678520.xyz/smt1.1.php?id=ctv_taiwan
民視, http://cdn9.1678520.xyz/smt1.1.php?id=ftvhd_taiwan
民視第一台, http://cdn9.1678520.xyz/smt1.1.php?id=lunghuajingdian_twn
民視台灣台, http://cdn9.1678520.xyz/smt1.1.php?id=ftvtaiwan_twn
民視新聞台, http://cdn9.1678520.xyz/smt1.1.php?id=ftvnew_taiwan
台視, http://cdn9.1678520.xyz/smt1.1.php?id=ttv_taiwan
台視新聞台, http://cdn9.1678520.xyz/smt1.1.php?id=ttvnews_twn
中視, http://cdn9.1678520.xyz/smt1.1.php?id=zhongshihd_twn
中視新聞台, http://cdn9.1678520.xyz/smt1.1.php?id=zhongshinews_twn
中視經典, http://cdn9.1678520.xyz/smt1.1.php?id=zhongshi_twn
華視, http://cdn9.1678520.xyz/smt1.1.php?id=ctshd_twn
華藝綜合, http://cdn9.1678520.xyz/smt1.1.php?id=weishichinese_twn
大愛一台, http://cdn9.1678520.xyz/smt1.1.php?id=daai_twn
寰宇新聞台, http://cdn9.1678520.xyz/smt1.1.php?id=huanyuxinwen_twn
寰宇財經台, http://cdn9.1678520.xyz/smt1.1.php?id=huanyutaiwan_twn
年代新聞台, http://cdn9.1678520.xyz/smt1.1.php?id=niandainews_twn
愛爾達影劇, http://cdn9.1678520.xyz/smt1.1.php?id=eltayingju_twn
愛爾達體育 1, http://cdn9.1678520.xyz/smt1.1.php?id=eltasport_twn
愛爾達體育 2, http://cdn9.1678520.xyz/smt1.1.php?id=eltasport2_twn
愛爾達體育 3, http://cdn9.1678520.xyz/smt1.1.php?id=eltasport3_twn
ELEVEN 1, http://cdn9.1678520.xyz/smt1.1.php?id=golfchannel_twn
博斯網球, http://cdn9.1678520.xyz/smt1.1.php?id=bositennis_twn
博斯運動1, http://cdn9.1678520.xyz/smt1.1.php?id=bosisport1_twn
博斯運動2, http://cdn9.1678520.xyz/smt1.1.php?id=bosisport2_twn
博斯高球1, http://cdn9.1678520.xyz/smt1.1.php?id=bosigolf1_twn
博斯高球2, http://cdn9.1678520.xyz/smt1.1.php?id=bosigolf2_twn
探索亞洲, http://cdn9.1678520.xyz/smt1.1.php?id=discoverytwn_twn
探索動力, http://cdn9.1678520.xyz/smt1.1.php?id=discoveryturbo_twn
國家地理, http://cdn9.1678520.xyz/smt1.1.php?id=natgeohd_twn
野生動物, http://cdn9.1678520.xyz/smt1.1.php?id=natgeowild_twn
動物星球, http://cdn9.1678520.xyz/smt1.1.php?id=animalplanet_twn
時尚, http://cdn9.1678520.xyz/smt1.1.php?id=fashiontv_twn
Discovery Asia, http://cdn9.1678520.xyz/smt1.1.php?id=discoverytwn_twn
Discovery HD, http://cdn9.1678520.xyz/smt1.1.php?id=discoveryhd_twn
東森戲劇, http://cdn9.1678520.xyz/smt1.1.php?id=ettvdrama
東森洋片, http://cdn9.1678520.xyz/smt1.1.php?id=ettvwestern
東森綜合, http://cdn9.1678520.xyz/smt1.1.php?id=ettvzhonghe
東森財經新聞, http://cdn9.1678520.xyz/smt1.1.php?id=ettvcaijing_twn
東森電影, http://cdn9.1678520.xyz/smt1.1.php?id=ettvmovie
緯來日本台, http://cdn9.1678520.xyz/smt1.1.php?id=videolandjapan
緯來體育台, http://cdn9.1678520.xyz/smt1.1.php?id=videolandsport
美亞電影, http://cdn9.1678520.xyz/smt1.1.php?id=meiyamovie_twn
BBC World News, http://cdn9.1678520.xyz/smt1.1.php?id=bbcnews_twn
Bloomberg News, http://cdn9.1678520.xyz/smt1.1.php?id=bloomberg_twn
Fox News, http://cdn9.1678520.xyz/smt1.1.php?id=foxnews_twn
阿里郎, http://cdn9.1678520.xyz/smt1.1.php?id=arirang_twn
CN卡通, http://cdn9.1678520.xyz/smt1.1.php?id=momo1_twn
靖天卡通台, http://cdn9.1678520.xyz/smt1.1.php?id=jingtiancartoon_twn
靖天國際台, http://cdn9.1678520.xyz/smt1.1.php?id=jingtianintl_twn
非凡新聞台, http://cdn9.1678520.xyz/smt1.1.php?id=feifannews_twn
龍祥時代, http://cdn9.1678520.xyz/smt1.1.php?id=lungxiangtime_twn
龍華偶像, http://cdn9.1678520.xyz/smt1.1.php?id=lunghuaidol_twn
龍華戲劇, http://cdn9.1678520.xyz/smt1.1.php?id=lunghuaxiju_twn
龍華洋片, http://cdn9.1678520.xyz/smt1.1.php?id=lunghuawestern_twn
龍華經典, http://cdn9.1678520.xyz/smt1.1.php?id=lunghuajingdian_twn
龍華電影, http://cdn9.1678520.xyz/smt1.1.php?id=xingwei_movie
馬來西亞 Malaysia,#genre#
TV1, http://cdn9.1678520.xyz/smt1.1.php?id=TV1
TV1(備用), http://cdn9.1678520.xyz/smt1.1.php?id=TV1_backup
TV2, http://cdn9.1678520.xyz/smt1.1.php?id=TV2
TV3, http://cdn9.1678520.xyz/smt1.1.php?id=TV3
TV3(備用), http://cdn9.1678520.xyz/smt1.1.php?id=tv3_twn
NTV7, http://cdn9.1678520.xyz/smt1.1.php?id=NTV7
TV8, http://cdn9.1678520.xyz/smt1.1.php?id=TV8
TV9, http://cdn9.1678520.xyz/smt1.1.php?id=TV9
Warna, http://cdn9.1678520.xyz/smt1.1.php?id=Warna-O
Warna(備用), http://cdn9.1678520.xyz/smt1.1.php?id=Warna
Ria, http://cdn9.1678520.xyz/smt1.1.php?id=Ria-0
Ria(備用), http://cdn9.1678520.xyz/smt1.1.php?id=Ria49
Ria-3, http://cdn9.1678520.xyz/smt1.1.php?id=Ria_quanjia
Al-Hijrah, http://cdn9.1678520.xyz/smt1.1.php?id=Alhijrah
Al-Hijrah(備用), http://cdn9.1678520.xyz/smt1.1.php?id=Alhijrah_backup
Awani, http://cdn9.1678520.xyz/smt1.1.php?id=Awani
Bernama, http://cdn9.1678520.xyz/smt1.1.php?id=Bernama
Prima, http://cdn9.1678520.xyz/smt1.1.php?id=Prima-0
Prima(備用), http://cdn9.1678520.xyz/smt1.1.php?id=Prima49
Ceria, http://cdn9.1678520.xyz/smt1.1.php?id=Ceria
Astro MTV, http://cdn9.1678520.xyz/smt1.1.php?id=AstroMTV
Mecca Live HD, http://cdn9.1678520.xyz/smt1.1.php?id=quran_mido
Madinah HD, http://cdn9.1678520.xyz/smt1.1.php?id=sunnah_mido
Oasis, http://cdn9.1678520.xyz/smt1.1.php?id=Oasis
HBO HD, http://cdn9.1678520.xyz/smt1.1.php?id=Hbo
HBO Signature, http://cdn9.1678520.xyz/smt1.1.php?id=Hbosignature
HBO Hits, http://cdn9.1678520.xyz/smt1.1.php?id=Hbohits
NatGeo Wild HD, http://cdn9.1678520.xyz/smt1.1.php?id=Natgeowild
Cartoon Network, http://cdn9.1678520.xyz/smt1.1.php?id=Cn
Nickelodeon, http://cdn9.1678520.xyz/smt1.1.php?id=Nickelodeon
Nick Jr, http://cdn9.1678520.xyz/smt1.1.php?id=Nickjr
Citra, http://cdn9.1678520.xyz/smt1.1.php?id=Citra
Sensasi, http://cdn9.1678520.xyz/smt1.1.php?id=Sensasi
Aura, http://cdn9.1678520.xyz/smt1.1.php?id=Aura
Rania, http://cdn9.1678520.xyz/smt1.1.php?id=Rania
Boo, http://cdn9.1678520.xyz/smt1.1.php?id=Boo
Awesome TV, http://cdn9.1678520.xyz/smt1.1.php?id=Awesome_mega
Sony HD, http://cdn9.1678520.xyz/smt1.1.php?id=SetOne
KBS World, http://cdn9.1678520.xyz/smt1.1.php?id=KBS
TvN, http://cdn9.1678520.xyz/smt1.1.php?id=TVN
Astro Premier, http://cdn9.1678520.xyz/smt1.1.php?id=Astropremier
AEC, http://cdn9.1678520.xyz/smt1.1.php?id=AEC
華麗台 HD, http://cdn9.1678520.xyz/smt1.1.php?id=Wlt
歡喜台 HD, http://cdn9.1678520.xyz/smt1.1.php?id=Huahee
歡喜台(備用), http://cdn9.1678520.xyz/smt1.1.php?id=Huahee_backup
