大陆央视,#genre#
CCTV-1 综合,https://histar.zapi.us.kg/?id=cctv1
CCTV-2 财经,https://histar.zapi.us.kg/?id=cctv2
CCTV-3 综艺,https://histar.zapi.us.kg/?id=cctv3
CCTV-4 中文国际,https://histar.zapi.us.kg/?id=cctv4
CCTV-5 体育,https://histar.zapi.us.kg/?id=cctv5
CCTV-5+ 体育赛事,https://histar.zapi.us.kg/?id=cctv5plus
CCTV-6 电影,https://histar.zapi.us.kg/?id=cctv6
CCTV-7 国防军事,https://histar.zapi.us.kg/?id=cctv7
CCTV-8 电视剧,https://histar.zapi.us.kg/?id=cctv8
CCTV-9 纪录,https://histar.zapi.us.kg/?id=cctv9
CCTV-10 科教,https://histar.zapi.us.kg/?id=cctv10
CCTV-11 戏曲,https://histar.zapi.us.kg/?id=cctv11
CCTV-12 社会与法,https://histar.zapi.us.kg/?id=cctv12
CCTV-13 新闻,https://histar.zapi.us.kg/?id=cctv13
CCTV-14 少儿,https://histar.zapi.us.kg/?id=cctv14
CCTV-15 音乐,https://histar.zapi.us.kg/?id=cctv15
CCTV-16 奥林匹克,https://histar.zapi.us.kg/?id=cctv16
CCTV-17 农业农村,https://histar.zapi.us.kg/?id=cctv17
CHC家庭影院,https://histar.zapi.us.kg/?id=chc-jtyy
CHC动作电影,https://histar.zapi.us.kg/?id=chc-dzdy
CHC高清电影,https://histar.zapi.us.kg/?id=chc-gqdy
重温经典,https://histar.zapi.us.kg/?id=cwjd
新播放方案测试组,#genre#
CCTV1测试,https://histar.zapi.us.kg/?id=testcctv1
CCTV2测试,https://histar.zapi.us.kg/?id=testcctv2
CCTV3测试,https://histar.zapi.us.kg/?id=testcctv3
CCTV4测试,https://histar.zapi.us.kg/?id=testcctv4
CCTV5测试,https://histar.zapi.us.kg/?id=testcctv5
Astro AEC测试,https://histar.zapi.us.kg/?id=testaec
Astro QJ测试,https://histar.zapi.us.kg/?id=testqj
Channel 5 测试,https://histar.zapi.us.kg/?id=testchannel5
Channel 8 测试,https://histar.zapi.us.kg/?id=testchannel8
SPOTV 测试,https://histar.zapi.us.kg/?id=testsportv
