litv,#genre#
parse=1
ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36
1 頻道表,https://www.litv.tv/channel/watch/litv-vchannel1
2 LiTV 精采預告,https://www.litv.tv/channel/watch/litv-vchannel2
4 民視第一台,https://www.litv.tv/channel/watch/4gtv-4gtv003
5 民視台灣台,https://www.litv.tv/channel/watch/4gtv-4gtv001
6 民視,https://www.litv.tv/channel/watch/4gtv-4gtv155
7 綜藝大集合,https://www.litv.tv/channel/watch/litv-vchannel7
8 台視,https://www.litv.tv/channel/watch/4gtv-4gtv066
9 包青天 1993版,https://www.litv.tv/channel/watch/litv-vchannel9
10 中視,https://www.litv.tv/channel/watch/4gtv-4gtv040
11 天才衝衝衝 精選,https://www.litv.tv/channel/watch/litv-vchannel11
12 華視,https://www.litv.tv/channel/watch/4gtv-4gtv041
13 公視戲劇,https://www.litv.tv/channel/watch/4gtv-4gtv042
14 向風而行,https://www.litv.tv/channel/watch/litv-vchannel14
15 好消息,https://www.litv.tv/channel/watch/litv-ftv16
16 空中英語教室HD頻道,https://www.litv.tv/channel/watch/litv-playout955
17 哆啦Ａ夢台,https://www.litv.tv/channel/watch/litv-vchannel17
18 全民星攻略,https://www.litv.tv/channel/watch/litv-vchannel18
20 食尚玩家-來去住一晚,https://www.litv.tv/channel/watch/litv-vchannel20
21 最強綜藝秀,https://www.litv.tv/channel/watch/litv-vchannel21
22 去有風的地方,https://www.litv.tv/channel/watch/litv-vchannel22
23 台灣1001個故事,https://www.litv.tv/channel/watch/litv-vchannel23
25 台灣啟示錄,https://www.litv.tv/channel/watch/litv-vchannel25
26 WTO姐妹會,https://www.litv.tv/channel/watch/litv-vchannel26
27 民視綜藝台,https://www.litv.tv/channel/watch/4gtv-4gtv004
28 世界第一等,https://www.litv.tv/channel/watch/litv-vchannel28
29 綜藝玩很大,https://www.litv.tv/channel/watch/litv-vchannel29
30 詹姆士出走料理,https://www.litv.tv/channel/watch/litv-vchannel30
31 Focus歡樂綜合台,https://www.litv.tv/channel/watch/litv-playout952
32 東森娛樂台,https://www.litv.tv/channel/watch/litv-vchannel32
33 健康2.0,https://www.litv.tv/channel/watch/litv-vchannel33
34 亞洲旅遊台,https://www.litv.tv/channel/watch/litv-longturn17
35 琅琊榜,https://www.litv.tv/channel/watch/litv-vchannel35
36 中天亞洲台,https://www.litv.tv/channel/watch/4gtv-4gtv109
37 小明星大跟班,https://www.litv.tv/channel/watch/litv-vchannel37
39 龍華戲劇台,https://www.litv.tv/channel/watch/litv-longturn18
40 TVBS精采台,https://www.litv.tv/channel/watch/4gtv-4gtv067
41 三十而已,https://www.litv.tv/channel/watch/litv-vchannel41
42 TVBS歡樂台,https://www.litv.tv/channel/watch/4gtv-4gtv068
43 東森購物1台,https://www.litv.tv/channel/watch/4gtv-4gtv102
44 民視影劇台,https://www.litv.tv/channel/watch/litv-ftv09
45 龍華偶像台,https://www.litv.tv/channel/watch/litv-longturn12
46 龍華日韓台,https://www.litv.tv/channel/watch/litv-longturn11
47 Yes娛樂,https://www.litv.tv/channel/watch/litv-vchannel47
48 Focus風采戲劇台,https://www.litv.tv/channel/watch/litv-playout951
49 東森購物2台,https://www.litv.tv/channel/watch/4gtv-4gtv103
50 掏掏新聞,https://www.litv.tv/channel/watch/litv-playout50
51 東森新聞台,https://www.litv.tv/channel/watch/4gtv-4gtv152
52 華視新聞,https://www.litv.tv/channel/watch/4gtv-4gtv052
53 民視新聞台,https://www.litv.tv/channel/watch/litv-ftv13
54 三立新聞iNEWS,https://www.litv.tv/channel/watch/iNEWS
55 TVBS新聞,https://www.litv.tv/channel/watch/4gtv-4gtv072
56 TVBS,https://www.litv.tv/channel/watch/4gtv-4gtv073
57 東森財經新聞台,https://www.litv.tv/channel/watch/4gtv-4gtv153
58 非凡新聞台,https://www.litv.tv/channel/watch/4gtv-4gtv010
59 台視新聞,https://www.litv.tv/channel/watch/4gtv-4gtv051
60 中視新聞,https://www.litv.tv/channel/watch/4gtv-4gtv074
61 中天新聞台,https://www.litv.tv/channel/watch/4gtv-4gtv009
62 寰宇新聞台灣台,https://www.litv.tv/channel/watch/litv-longturn15
63 寰宇新聞台,https://www.litv.tv/channel/watch/litv-longturn14
