Decoder=3
香港频道999,#genre#

凤凰中文,p6p://142.54.189.230:2215/64df4dbc000cf286058dd1b77e200c8c.ts
凤凰资讯,p6p://142.54.189.230:2215/64df4d94000505f2058d33745c142bdb.ts
TVB无线新闻,p6p://142.54.189.230:2215/64df13d8000a1ec304abae6b03b97a73.ts
TVBJ2,p6p://142.54.189.230:2215/64df145e0003949404adb826220f65c7.ts
TVB明珠,p6p://142.54.189.230:2215/64df14850006012004ae511a551c5e4a.ts
TVB翡翠,p6p://142.54.189.230:2215/64df143900021cb404ad274066611259.ts
TVB明珠,p6p://142.54.189.230:2215/64df14020000dd2d04ac501a15c52a06.ts
互动新闻,p6p://142.54.189.230:2215/64df13d8000a1ec304abae6b03b97a73.ts
TVBJ5,p6p://142.54.189.230:2215/64df14850006012004ae511a551c5e4a.ts
TVB,p6p://142.54.189.230:2215/64df143900021cb404ad274066611259.ts
明珠,p6p://142.54.189.230:2215/64df14020000dd2d04ac501a15c52a06.ts
