远程公告,#genre#
来源网络,https://us-xpc11.xpccdn.com/be8aea8f-295a-4d97-a3af-ce07603e22ef.mp4
免费分享,https://vdse.bdstatic.com//b01518813ef433f63d7e17fd6bcbb5eb.mp4
请勿追究,http://gouwu.pthv.gitv.tv:91/live/CCTV5-1500k/live.m3u8
谨防被骗,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8?contentid=2820180516001
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
重温经典,http://36.108.172.237:10097/stream/channelid/1129822714
重温经典,http://36.108.172.237:10005/stream/channelid/1658622386?ticket=cee7f3f6fd238a746e4e7a2b018ee411947ffe3d&profile=pass
重温经典,http://117.114.153.1:8180/TV00000000000000000007@HHZT
星空卫视,http://117.114.153.1:8180/TV00000000000000000071@HHZT
凤凰资讯,http://117.114.153.1:8180/TV00000000000000000068@HHZT
凤凰中文,http://117.114.153.1:8180/TV00000000000000000069@HHZT
凤凰电影,http://117.114.153.1:8180/TV00000000000000000072@HHZT
STARmovies,http://117.114.153.1:8180/TV00000000000000000075@HHZT
axn电影,http://117.114.153.1:8180/TV00000000000000000076@HHZT
CINEMAX电影,http://117.114.153.1:8180/TV00000000000000000109@HHZT
HBO（美）,http://117.114.153.1:8180/TV00000000000000000074@HHZT
NBA TV2,http://170.yfvodcdn.com:19980/live/nbaTV2/hls.m3u8
NBA TV1,http://170.yfvodcdn.com:19980/live/nbaTV1/hls.m3u8
CCTV2HD,http://liveop.cctv.cn/hls/CCTV28bee868714f04ea2af79947bb9b46fc3H/playlist.m3u8
CCTV4K,http://27.222.3.214/liveali-tp4k.cctv.cn/live/4K10M.stream/playlist.m3u8
CCTV4K,http://159.75.85.63:5679/cctv4k.php
CCTV4K,https://tv.cry33.com/ys4k.php?id=4k
CCTV8K,https://tv.cry33.com/ys4k.php?id=8k
北京纪实8K,http://49.7.69.235/downflv.brtvcloud.com/8klive/8kliveok.m3u8
苏州4K,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8
苏州4K,http://liveshowbak2.kan0512.com/norecord/csztv4k_4k.m3u8
搜狐4K,http://nas.hssvm.com:8888/rtp/225.1.2.190:5002?$天津联通主力线
搜狐4K,http://125.37.57.151:18888/rtp/225.1.2.190:5002?$天津联通备线1
百事通4K电影,http://www.17888.fun:10000//udp/239.45.3.107:5140?$上海电信备线3
百事通4K电影,http://nxlj.cn:1688//udp/239.45.3.107:5140?$虹口电信组播
百事通4K纪实,http://www.17888.fun:10000//rtp/239.45.1.10:5140?$上海电信备线3
百事通4K纪实,http://nxlj.cn:1688//rtp/239.45.1.10:5140?$虹口电信组播
百事通4K儿童,http://www.17888.fun:10000//rtp/239.45.1.1:5140?$上海电信备线3
百事通4K儿童,http://nxlj.cn:1688//rtp/239.45.1.1:5140?$虹口电信组播
华数电影4K,http://220.176.218.35:8888/udp/239.252.220.212:5140?$江西上饶电信
华数电影4K,http://920425.xyz:6666/rtp/239.253.240.102:8000?$山东泰安联通
华数电影4K,http://125.69.136.119:8880/udp/239.93.0.97:5140?$四川电信备线2
华数电影4K,http://home.sylaigym.top:8887/rtp/239.69.1.141:10482?$湖北武汉电信
欢笑剧场4K,http://ipv4.sunjianwu.fun:8800/udp/239.49.8.106:8000?$盐成电信组播
欢笑剧场4K,http://qingcheng.pro:7890/udp/238.125.5.122:5140?$新疆电信组播
欢笑剧场4K,http://171.223.198.94:4000/udp/239.93.0.145:5140?$四川电信主力线
欢笑剧场4K,http://119.117.154.23:4022/rtp/232.0.0.98:1234?$辽宁鞍山联通
CCTV16奥林匹克4K,http://vip.syzkgg.com:8686/rtp/239.253.64.126:5140?$海南三亚电信
CCTV16奥林匹克4K,http://home.sylaigym.top:8887/rtp/239.69.1.249:11136?$湖北武汉电信
CCTV16奥林匹克4K,http://171.223.198.94:4000/udp/239.93.42.54:5140?$四川电信主力线
CCTV16奥林匹克4K,http://171.223.198.94:4000/udp/239.93.42.54:5140?$四川电信备线2
CCTV16奥林匹克4K,http://113.13.173.215:6666/rtp/239.81.0.144:4056?$广西电信主力线
CCTV16奥林匹克4K,http://220.176.218.35:8888/udp/239.252.220.237:5140?$江西上饶电信
CCTV16奥林匹克4K,http://113.93.48.143:2000/udp/239.77.1.98:5146?$广东电信主力线
CCTV4K超清,http://27.222.3.214/liveali-tp4k.cctv.cn/live/4K10M.stream/playlist.m3u8
CCTV4K超清,http://113.93.48.143:2000/udp/239.77.1.180:5146?$广东电信主力线
CCTV4K超清,http://117.67.169.12:4022/rtp/238.1.78.137:6968?$安徽电信主力线
CCTV4K超清,http://113.13.173.215:6666/rtp/239.81.1.78:4056?$广西电信主力线
CCTV8K超清,https://tv.cry33.com/ys4k.php?id=8k
北京4K超清,http://115.171.216.54:4000/udp/225.1.8.211:8002?$北京电信备线4
北京4K超清,http://ikuai.zlsip.top:4022/rtp/239.3.1.249:8001$北京联通备线1
中录动漫4K,http://125.69.136.119:8880/udp/239.93.1.188:5140?$四川电信备线2
乐享4K,http://171.223.198.94:4000/udp/239.93.0.43:5140?$四川电信主力线
乐享4K,http://125.69.136.119:8880/udp/239.93.0.43:5140?$四川电信备线2
亲子趣学4K.http://171.223.198.94:4000/udp/239.93.1.191:5140?$四川电信主力线
亲子趣学4K.http://125.69.136.119:8880/udp/239.93.1.191:5140?$四川电信备线2
亲子趣学4Khttp://118.114.97.25:886/udp/239.93.1.191:5140?$四川电信备线1
南国都市4K,http://113.93.48.143:2000/udp/239.253.43.99:5146?$广东电信主力线
南国都市4K,http://14.121.146.11:554/udp/239.253.43.99:5146?$广东电信备线1
南国都市4K,http://183.54.209.173:9999/udp/239.253.43.99:5146?$广东电信备线2
广东4k超清,http://113.93.48.143:2000/udp/239.77.1.237:5146?$广东电信主力线
广东4k超清,http://14.121.146.11:554/udp/239.77.1.237:5146?$广东电信备线1
广东4k超清,http://gs.jianghua.fun:8888/udp/239.77.1.237:5146?$广东电信备线3
绚影4K,http://125.69.136.119:8880/udp/239.93.42.33:5140?$四川电信备线2
苏州4K,http://liveshowbak2.kan0512.com/norecord/csztv4k_4k.m3u8
河南卫视4K,http://123.101.98.187:2000/rtp/239.16.20.199:11990?$河南电信主力线
河南卫视4K,http://219.156.188.59:8089/rtp/225.1.4.254:1300?$河南联通备线2



港-澳-台,#genre#
NOW星影,http://121.40.63.193:81/now星影/香蕉哥专用.live.ts
NOW爆谷,http://121.40.63.193:81/now爆谷/香蕉哥专用.live.ts
TVB翡翠,http://121.40.63.193:81/tvb翡翠/香蕉哥专用.live.ts
广电翡翠,http://121.40.63.193:81/广电翡翠/香蕉哥专用.live.flv
中华MOD,http://120.46.36.35:6080/中华MOD/香蕉哥专用-易發TV/hls.m3u8

NOW星影,http://111.160.76.101:80/香蕉哥/now星影.live.flv
NOW爆谷,http://111.160.76.101:80/香蕉哥/now爆谷.live.flv
TVB翡翠,http://111.160.76.101:80/香蕉哥/tvb翡翠.live.flv

NOW星影,http://60.30.198.43:5080/香蕉哥/now星影/hls.m3u8
NOW爆谷,http://60.30.198.43:5080/香蕉哥/now爆谷/hls.m3u8
TVB翡翠,http://60.30.198.43:5080/香蕉哥/tvb翡翠/hls.m3u8

TVB-Plus,http://ncdsrti.7766.org:7550/hls/chunklistxufkwjw.m3u8
TVB-Plus,http://ha.jmied.com/aa/aa.m3u8?auth_key=1661958232-0-0-114df08fce17ecb21f6bf42de85e7600
TVB-Plus,http://138.113.24.59/libof.kesx.top/live/5658kwkojtz.m3u8
TVB星河,http://117.114.153.1:8180/TV00000000000000000073@HHZT
無綫新聞台,http://live.cooltv.top/tv/tvb.php?id=2
凤凰资讯,http://tvbox.netsite.cc/proxy/1650326537/1650326537.m3u8
凤凰中文,http://tvbox.netsite.cc/proxy/1846789161/1846789161.m3u8
凤凰资讯,http://61.221.215.25:8800/hls/47/index.m3u8
凤凰中文,http://122.224.232.226:8888/udp/233.50.200.191:5140
凤凰资讯,http://122.224.232.226:8888/udp/233.50.200.192:5140
香港C+,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/index.m3u8
香港32台,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream2/streamPlaylist.m3u8
香港33台,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream03/streamPlaylist.m3u8
香港34台,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream02/streamPlaylist.m3u8
香港35台,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream02/streamPlaylist.m3u8
星河,https://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8
功夫,https://v2h.jdshipin.com/asia_action/asia_action.stream/chunklist.m3u8
娱乐新闻,https://v2h.jdshipin.com/enew/enew.stream/chunklist.m3u8
TVBJ1,https://bcovlive-a.akamaihd.net/e360e3f9895c4fae99b133ec8dc20f01/us-west-2/5324042807001/4a3bca5b047b4564b18bb12dfa26ba62/playlist_ssaiM.m3u8

中视,rtmp://f13h.mine.nu/sat/tv091
华视,rtmp://f13h.mine.nu/sat/tv111
台视,rtmp://f13h.mine.nu/sat/tv071
民视,rtmp://f13h.mine.nu/sat/tv051
纬来体育,http://mtw.so/5yqGDH
纬来体育,rtmp://f13h.mine.nu/sat/tv721
纬来育乐,rtmp://f13h.mine.nu/sat/tv701
纬来日本,rtmp://f13h.mine.nu/sat/tv771
东森超视,rtmp://f13h.mine.nu/sat/tv331
八大戏剧,http://61.221.215.25:8800/hls/39/index.m3u8
