台灣頻道,#genre#
民視,http://php.jdshipin.com:8880/xsj.php?id=336
民視,http://php.jdshipin.com:8880/xsj.php?id=2805
台視,http://php.jdshipin.com:8880/xsj.php?id=27
台視,http://php.jdshipin.com:8880/xsj.php?id=326
台視,http://php.jdshipin.com:8880/xsj.php?id=312
中視,http://php.jdshipin.com:8880/xsj.php?id=333
中視,http://php.jdshipin.com:8880/xsj.php?id=1041
華視,http://php.jdshipin.com:8880/xsj.php?id=32
華視,http://php.jdshipin.com:8880/xsj.php?id=2282
公視,http://php.jdshipin.com:8880/xsj.php?id=86
公視,http://php.jdshipin.com:8880/xsj.php?id=28
好消息,http://php.jdshipin.com:8880/xsj.php?id=104
客家電視,http://php.jdshipin.com:8880/xsj.php?id=76
緯來綜合,http://php.jdshipin.com:8880/xsj.php?id=2726
八大第一,http://php.jdshipin.com:8880/xsj.php?id=318
八大綜合,http://php.jdshipin.com:8880/xsj.php?id=2286
三立臺灣,http://php.jdshipin.com:8880/xsj.php?id=35
三立臺灣,http://php.jdshipin.com:8880/xsj.php?id=21
三立臺灣,http://php.jdshipin.com:8880/xsj.php?id=2436
三立都會,http://php.jdshipin.com:8880/xsj.php?id=2435
三立都會,http://php.jdshipin.com:8880/xsj.php?id=1001
三立都會,http://php.jdshipin.com:8880/xsj.php?id=38
東森綜合,http://php.jdshipin.com:8880/xsj.php?id=372
東森超視,http://php.jdshipin.com:8880/xsj.php?id=80
東森購物2,http://php.jdshipin.com:8880/xsj.php?id=1156
中天綜合,http://php.jdshipin.com:8880/xsj.php?id=54
中天綜合,http://php.jdshipin.com:8880/xsj.php?id=3072
中天娛樂,http://php.jdshipin.com:8880/xsj.php?id=324
TVBS歡樂,http://php.jdshipin.com:8880/xsj.php?id=40
八大精彩,http://php.jdshipin.com:8880/xsj.php?id=1024
JET綜合,http://php.jdshipin.com:8880/xsj.php?id=41
東森購物1,http://php.jdshipin.com:8880/xsj.php?id=1155
TVBS,http://php.jdshipin.com:8880/xsj.php?id=2273
TVBS,http://php.jdshipin.com:8880/xsj.php?id=16
緯來育樂,http://php.jdshipin.com:8880/xsj.php?id=338
緯來育樂（測試）,http://php.jdshipin.com:8880/xsj.php?id=2772
緯來日本,http://php.jdshipin.com:8880/xsj.php?id=337
緯來日本,http://php.jdshipin.com:8880/xsj.php?id=46
國興衛視,http://php.jdshipin.com:8880/xsj.php?id=65
信大電視,http://php.jdshipin.com:8880/xsj.php?id=422
八大娱乐,http://php.jdshipin.com:8880/xsj.php?id=105
公視3台,http://php.jdshipin.com:8880/xsj.php?id=1340
好消息2,http://php.jdshipin.com:8880/xsj.php?id=363
高點綜合,http://php.jdshipin.com:8880/xsj.php?id=99
中天亞洲,http://php.jdshipin.com:8880/xsj.php?id=2277
中天亞洲,http://php.jdshipin.com:8880/xsj.php?id=322
民視台灣,http://php.jdshipin.com:8880/xsj.php?id=36
龍華日韓,http://php.jdshipin.com:8880/xsj.php?id=382
豬哥亮歌廳秀,http://php.jdshipin.com:8880/xsj.php?id=75
豬哥會社,http://php.jdshipin.com:8880/xsj.php?id=103
ELTA娛樂台,http://php.jdshipin.com:8880/xsj.php?id=351
韓國娛樂,http://php.jdshipin.com:8880/xsj.php?id=73
靖天國際,http://php.jdshipin.com:8880/xsj.php?id=345
靖天育樂,http://php.jdshipin.com:8880/xsj.php?id=1029
靖天日本,http://php.jdshipin.com:8880/xsj.php?id=108
靖天歡樂,http://php.jdshipin.com:8880/xsj.php?id=51
三立綜合,http://php.jdshipin.com:8880/xsj.php?id=315
三立綜合,http://php.jdshipin.com:8880/xsj.php?id=2815
靖天資訊,http://php.jdshipin.com:8880/xsj.php?id=49
靖天綜合,http://php.jdshipin.com:8880/xsj.php?id=308
中視經典,http://php.jdshipin.com:8880/xsj.php?id=185
中視菁采,http://php.jdshipin.com:8880/xsj.php?id=74
TVBS精采,http://php.jdshipin.com:8880/xsj.php?id=66
TVBS精采,http://php.jdshipin.com:8880/xsj.php?id=117
年代much,http://php.jdshipin.com:8880/xsj.php?id=1359
ELTA綜合,http://php.jdshipin.com:8880/xsj.php?id=1137
東森購物3,http://php.jdshipin.com:8880/xsj.php?id=1584
MOMO購物1,http://php.jdshipin.com:8880/xsj.php?id=1585
MOMO購物2,http://php.jdshipin.com:8880/xsj.php?id=1586
美好購物1,http://php.jdshipin.com:8880/xsj.php?id=1591
美好購物2,http://php.jdshipin.com:8880/xsj.php?id=1592
大立電視,http://php.jdshipin.com:8880/xsj.php?id=1593
國會頻道１,http://php.jdshipin.com:8880/xsj.php?id=2614
國會頻道2,http://php.jdshipin.com:8880/xsj.php?id=420
海豚綜合,http://php.jdshipin.com:8880/xsj.php?id=262
台灣地震監視,http://php.jdshipin.com:8880/xsj.php?id=2637
中視經典綜藝,http://php.jdshipin.com:8880/xsj.php?id=2773
萬秀豬王,http://php.jdshipin.com:8880/xsj.php?id=2978
三立新聞,http://php.jdshipin.com:8880/xsj.php?id=43
三立新聞,http://php.jdshipin.com:8880/xsj.php?id=2794
三立新聞,http://php.jdshipin.com:8880/xsj.php?id=2392
三立新聞+,http://php.jdshipin.com:8880/xsj.php?id=320
東森新聞,http://php.jdshipin.com:8880/xsj.php?id=1025
東森新聞4,http://php.jdshipin.com:8880/xsj.php?id=2766
東森新聞,http://php.jdshipin.com:8880/xsj.php?id=1358
東森新聞,http://php.jdshipin.com:8880/xsj.php?id=2393
東森亞洲,http://php.jdshipin.com:8880/xsj.php?id=3
中天新聞2台,http://php.jdshipin.com:8880/xsj.php?id=152
中天新聞,http://php.jdshipin.com:8880/xsj.php?id=2420
民視新聞,http://php.jdshipin.com:8880/xsj.php?id=2395
民視新聞,http://php.jdshipin.com:8880/xsj.php?id=13
TVBS新聞,http://php.jdshipin.com:8880/xsj.php?id=2736
TVBS新聞,http://php.jdshipin.com:8880/xsj.php?id=2
TVBS新聞,http://php.jdshipin.com:8880/xsj.php?id=2396
東森財經,http://php.jdshipin.com:8880/xsj.php?id=2397
東森財經,http://php.jdshipin.com:8880/xsj.php?id=12
華視新聞,http://php.jdshipin.com:8880/xsj.php?id=2424
華視新聞,http://php.jdshipin.com:8880/xsj.php?id=1171
