大陆央视,#genre#
CCTV-1 综合,https://us.ran-ran.net/histar.php?id=cctv1
CCTV-2 财经,https://us.ran-ran.net/histar.php?id=cctv2
CCTV-3 综艺,https://us.ran-ran.net/histar.php?id=cctv3
CCTV-4 中文国际,https://us.ran-ran.net/histar.php?id=cctv4
CCTV-5 体育,https://us.ran-ran.net/histar.php?id=cctv5
CCTV-5+ 体育赛事,https://us.ran-ran.net/histar.php?id=cctv5plus
CCTV-6 电影,https://us.ran-ran.net/histar.php?id=cctv6
CCTV-7 国防军事,https://us.ran-ran.net/histar.php?id=cctv7
CCTV-8 电视剧,https://us.ran-ran.net/histar.php?id=cctv8
CCTV-9 纪录,https://us.ran-ran.net/histar.php?id=cctv9
CCTV-10 科教,https://us.ran-ran.net/histar.php?id=cctv10
CCTV-11 戏曲,https://us.ran-ran.net/histar.php?id=cctv11
CCTV-12 社会与法,https://us.ran-ran.net/histar.php?id=cctv12
CCTV-13 新闻,https://us.ran-ran.net/histar.php?id=cctv13
CCTV-14 少儿,https://us.ran-ran.net/histar.php?id=cctv14
CCTV-15 音乐,https://us.ran-ran.net/histar.php?id=cctv15
CCTV-16 奥林匹克,https://us.ran-ran.net/histar.php?id=cctv16
CCTV-17 农业农村,https://us.ran-ran.net/histar.php?id=cctv17
CHC家庭影院,https://us.ran-ran.net/histar.php?id=chc-jtyy
CHC动作电影,https://us.ran-ran.net/histar.php?id=chc-dzdy
CHC高清电影,https://us.ran-ran.net/histar.php?id=chc-gqdy
重温经典,https://us.ran-ran.net/histar.php?id=cwjd
新播放方案测试组,#genre#
CCTV1测试,https://us.ran-ran.net/histar.php?id=testcctv1
CCTV2测试,https://us.ran-ran.net/histar.php?id=testcctv2
CCTV3测试,https://us.ran-ran.net/histar.php?id=testcctv3
CCTV4测试,https://us.ran-ran.net/histar.php?id=testcctv4
CCTV5测试,https://us.ran-ran.net/histar.php?id=testcctv5
Astro AEC测试,https://us.ran-ran.net/histar.php?id=testaec
Astro QJ测试,https://us.ran-ran.net/histar.php?id=testqj
Channel 5 测试,https://us.ran-ran.net/histar.php?id=testchannel5
Channel 8 测试,https://us.ran-ran.net/histar.php?id=testchannel8
SPOTV 测试,https://us.ran-ran.net/histar.php?id=testsportv
SPOTV 2 测试,https://us.ran-ran.net/histar.php?id=testspotv2
大湾区卫视,https://us.ran-ran.net/histar.php?id=testdwqws
大陆卫视,#genre#
湖南卫视,https://us.ran-ran.net/histar.php?id=hunan
浙江卫视,https://us.ran-ran.net/histar.php?id=zhejiang
东方卫视,https://us.ran-ran.net/histar.php?id=dongfang
江苏卫视,https://us.ran-ran.net/histar.php?id=jiangsu
北京卫视,https://us.ran-ran.net/histar.php?id=beijing
深圳卫视,https://us.ran-ran.net/histar.php?id=shenzhen
广东卫视,https://us.ran-ran.net/histar.php?id=guangdong
大湾区卫视,https://us.ran-ran.net/histar.php?id=gdwqws
重庆卫视,https://us.ran-ran.net/histar.php?id=chongqing
东南卫视,https://us.ran-ran.net/histar.php?id=dongnan
广西卫视,https://us.ran-ran.net/histar.php?id=guangxi
贵州卫视,https://us.ran-ran.net/histar.php?id=guizhou
海南卫视,https://us.ran-ran.net/histar.php?id=hainan
河北卫视,https://us.ran-ran.net/histar.php?id=hebei
黑龙江卫视,https://us.ran-ran.net/histar.php?id=heilongjiang
湖北卫视,https://us.ran-ran.net/histar.php?id=hubei
江西卫视,https://us.ran-ran.net/histar.php?id=jiangxi
吉林卫视,https://us.ran-ran.net/histar.php?id=jilin
辽宁卫视,https://us.ran-ran.net/histar.php?id=liaoning
内蒙古卫视,https://us.ran-ran.net/histar.php?id=neimenggu
宁夏卫视,https://us.ran-ran.net/histar.php?id=ningxia
陕西卫视,https://us.ran-ran.net/histar.php?id=shaanxi
山东卫视,https://us.ran-ran.net/histar.php?id=shandong
山西卫视,https://us.ran-ran.net/histar.php?id=shanxi
四川卫视,https://us.ran-ran.net/histar.php?id=sichuan
天津卫视,https://us.ran-ran.net/histar.php?id=tianjin
厦门卫视,https://us.ran-ran.net/histar.php?id=xiamen
新疆卫视,https://us.ran-ran.net/histar.php?id=xinjiang
西藏卫视,https://us.ran-ran.net/histar.php?id=xizang
云南卫视,https://us.ran-ran.net/histar.php?id=yunnan
安徽卫视,https://us.ran-ran.net/histar.php?id=anhui
河南卫视,https://us.ran-ran.net/histar.php?id=henan
青海卫视,https://us.ran-ran.net/histar.php?id=qinghai
甘肃卫视,https://us.ran-ran.net/histar.php?id=gansu
港澳频道,#genre#
TVB 翡翠台,https://us.ran-ran.net/histar.php?id=feicui
TVB 无线新闻台,https://us.ran-ran.net/histar.php?id=tvb-news
TVB PLUS,https://us.ran-ran.net/histar.php?id=tvb-plus
TVB 黄金翡翠台,https://us.ran-ran.net/histar.php?id=golden-jade
TVB 黄金华剧台,https://us.ran-ran.net/histar.php?id=golden-chinese-drama
TVB 千禧经典台,https://us.ran-ran.net/histar.php?id=tvb-classic
TVB 粤语片台,https://us.ran-ran.net/histar.php?id=tvb-yueyu
