央视频道,#genre#
CCTV1,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel1/1300.m3u8
CCTV1,http://222.241.154.37:9901/tsfile/live/23001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel1/1300.m3u8
CCTV1,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel1/2300.m3u8
CCTV2,http://liveop.cctv.cn/hls/CCTV28bee868714f04ea2af79947bb9b46fc3H/playlist.m3u8
CCTV3,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel3/1300.m3u8
CCTV4,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel4/1300.m3u8
CCTV5,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel5/1300.m3u8
CCTV6,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel6/1300.m3u8
CCTV7,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel7/2300.m3u8
CCTV8,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel8/1300.m3u8
CCTV9,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel9/1300.m3u8
CCTV10,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel10/1300.m3u8
CCTV11,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel41/1300.m3u8
CCTV12,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel11/1300.m3u8
CCTV13,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel39/1300.m3u8
CCTV13,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel39/2300.m3u8
CCTV14,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel12/1300.m3u8
CCTV15,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel40/1300.m3u8
CCTV16,http://222.241.154.37:9901/tsfile/live/23016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://222.241.154.37:9901/tsfile/live/23017_1.m3u8?key=txiptv&playlive=1&authid=0


卫视频道,#genre#
湖南卫视,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel25/1300.m3u8
湖南卫视,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel25/2300.m3u8
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/360p.m3u8
东方卫视,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel26/1300.m3u8
东方卫视,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel26/2300.m3u8
江苏卫视,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel18/1300.m3u8
江苏卫视,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel18/2300.m3u8
安徽卫视,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel23/1300.m3u8
安徽卫视,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel23/2300.m3u8
重庆卫视,http://116.162.6.191/bst.v.smtcdns.net/lnnetv51.live.bestvcdn.com.cn/liveplay-kk.rtxapp.com/live/program/live/cqws8m/8000000/mnf.m3u8
重庆卫视,http://xuys.top:8888/udp/225.1.1.60:5002
重庆卫视,http://open.live-web.timetv.cn/live/hndx.m3u8?token=TV259836903HNDX04252008&channel=249
北京卫视,http://xuys.top:8888/udp/225.1.1.47:5002
北京卫视,http://xuys.top:8888/udp/225.1.1.113:5002
北京卫视,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel24/1300.m3u8
北京卫视,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel24/2300.m3u8
天津卫视,http://xuys.top:8888/udp/225.1.1.1:5002
天津卫视,http://xuys.top:8888/udp/225.1.1.111:5002
天津卫视,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel28/1300.m3u8
辽宁卫视,http://xuys.top:8888/udp/225.1.1.40:5002
辽宁卫视,http://xuys.top:8888/udp/225.1.1.154:5002
辽宁卫视,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel32/1300.m3u8
江西卫视,http://xuys.top:8888/udp/225.1.1.39:5002
江西卫视,http://xuys.top:8888/udp/225.1.2.29:5002
江西卫视,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel22/1300.m3u8
黑龙江卫视,http://xuys.top:8888/udp/225.1.1.28:5002
黑龙江卫视,http://xuys.top:8888/udp/225.1.1.115:5002
黑龙江卫视,http://xuys.top:8888/udp/225.1.1.28:5002
黑龙江卫视,http://xuys.top:8888/udp/225.1.1.115:5002
山东卫视,http://livealone.iqilu.com/iqilu/sdtvhjOF03kn.m3u8
山东卫视,http://livealone.iqilu.com/iqilu/sdtvhjOF03kn.m3u8?wsSession=915881ed1005f4cee2dc0dc0-171628251961311&wsIPSercert=d6ab0bfc9ed8696bc4eadb0871fba63c
云南卫视,http://tvlive.ynradio.com/live/yunnanweishi/chunks.m3u8
云南卫视,http://xuys.top:8888/udp/225.1.1.61:5002
云南卫视,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel61/1300.m3u8
四川卫视,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel31/1300.m3u8
四川卫视,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel31/2300.m3u8
河南卫视,http://xuys.top:8888/udp/225.1.2.61:5002
河南卫视,http://xuys.top:8888/udp/225.1.1.53:5002
广东卫视,http://xuys.top:8888/udp/225.1.1.116:5002
广东卫视,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel16/1300.m3u8
深圳卫视,http://xuys.top:8888/udp/225.1.1.117:5002
深圳卫视,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel17/1300.m3u8
湖北卫视,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel21/1300.m3u8
湖北卫视,http://xuys.top:8888/udp/225.1.1.147:5002
东南卫视,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel80/1300.m3u8
河北卫视,http://tv.pull.hebtv.com/jishi/weishipindao.m3u8?t=2510710360&k=f1b16a3a3866dafecb94ec2bb4160e58
河北卫视,http://xuys.top:8888/udp/225.1.1.49:5002
河北卫视,http://xuys.top:8888/udp/225.1.2.27:5002
吉林卫视,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel20/1300.m3u8
吉林卫视,http://xuys.top:8888/udp/225.1.2.26:5002
广西卫视,http://xuys.top:8888/udp/225.1.2.81:5002
广西卫视,http://open.live-web.timetv.cn/live/hndx.m3u8?token=TV259836903HNDX04252008&channel=321
山西卫视,http://liveflash.sxrtv.com/live/sxwshd.m3u8?sub_m3u8=true&edge_slice=true
陕西卫视,http://xuys.top:8888/udp/225.1.1.41:5002
陕西卫视,http://open.live-web.timetv.cn/live/hndx.m3u8?token=TV259836903HNDX04252008&channel=268
内蒙古卫视,http://xuys.top:8888/udp/225.1.1.32:5002
内蒙古卫视,http://cdn.u55u.cn/migu.php?id=nmws
内蒙古卫视,http://xuys.top:8888/udp/225.1.1.32:5002
宁夏卫视,https://hls.ningxiahuangheyun.com/live/nxws1M/index.m3u8?session=vcsdyuw52a5cppvrrwac4lfo71uub157
宁夏卫视,http://cdn.u55u.cn/migu.php?id=nxws
宁夏卫视,http://116.162.6.191/bst.v.smtcdns.net/lnnetv51.live.bestvcdn.com.cn/liveplay-kk.rtxapp.com/live/program/live/nxws/1300000/mnf.m3u8
#http://116.162.6.191/bst.v.smtcdns.net/lnnetv51.live.bestvcdn.com.cn/liveplay-kk.rtxapp.com/live/program/live/nxws/1300000/mnf.m3u8
西藏卫视,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel66/1300.m3u8
新疆卫视,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel64/1300.m3u8
新疆卫视,http://116.162.6.191/bst.v.smtcdns.net/lnnetv51.live.bestvcdn.com.cn/liveplay-kk.rtxapp.com/live/program/live/xjws/1300000/mnf.m3u8
甘肃卫视,http://xuys.top:8888/udp/225.1.1.30:5002
甘肃卫视,http://cdn.u55u.cn/migu.php?id=gsws
海南卫视,https://live2.hnntv.cn/srs/tv/lywsgq.m3u8?_upt=a68c44a61716376245
海南卫视,http://xuys.top:8888/udp/225.1.2.82:5002
海南卫视,http://dp.sxtv.top:88/2b/migu.php?id=hinws
贵州卫视,https://9bwaz8y2.gzstv.com/live/CH01_lo.m3u8?txSecret=2ae834a00cdf290e3b41b73e072bb2fb&txTime=664DBE41
贵州卫视,http://dp.sxtv.top:88/2b/migu.php?id=gzws
贵州卫视,http://xuys.top:8888/udp/225.1.2.28:5002
贵州卫视,http://9bwaz8y2.gzstv.com/live/CH01_lo.m3u8?txSecret=a66dfb255f4606c9442030430b8ac1fa&txTime=664DBFF8
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8?_upt=ccb8e8391716289186
青海卫视,http://116.162.6.191/bst.v.smtcdns.net/lnnetv51.live.bestvcdn.com.cn/liveplay-kk.rtxapp.com/live/program/live/qhws/1300000/mnf.m3u8
兵团卫视,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2022606701/timeshift.m3u8?delay=0
兵团卫视,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel67/1300.m3u8
凤凰卫视,http://116.162.6.192/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226308/index.m3u8
凤凰卫视,http://play-flive.ifeng.com/live/06OLEGEGM4G.m3u8
凤凰卫视,http://116.162.6.191/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226308/index.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=30d9fd4ed7dc2f35f7def364-171644923297937&wsIPSercert=5db8fb459ced104499a9d0bd329b98e9
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq.flv

卫视频道[V4],#genre#


广西卫视,http://xuys.top:8888/udp/225.1.2.81:5002
贵州卫视,http://xuys.top:8888/udp/225.1.1.63:5002
贵州卫视,http://xuys.top:8888/udp/225.1.2.28:5002
辽宁卫视,http://xuys.top:8888/udp/225.1.1.40:5002
辽宁卫视,http://xuys.top:8888/udp/225.1.1.154:5002
内蒙古卫视,http://xuys.top:8888/udp/225.1.1.32:5002
宁夏卫视,http://xuys.top:8888/udp/225.1.1.56:5002
青海卫视,http://xuys.top:8888/udp/225.1.1.54:5002
三沙卫视,http://xuys.top:8888/udp/225.1.1.182:5002
三沙卫视,http://xuys.top:8888/udp/225.1.2.181:5002
山西卫视,http://xuys.top:8888/udp/225.1.1.50:5002
陕西卫视,http://xuys.top:8888/udp/225.1.1.41:5002
东方卫视,http://xuys.top:8888/udp/225.1.2.31:5002
东方卫视,http://xuys.top:8888/udp/225.1.1.45:5002
深圳卫视,http://xuys.top:8888/udp/225.1.1.43:5002
深圳卫视,http://xuys.top:8888/udp/225.1.1.117:5002
四川卫视,http://xuys.top:8888/udp/225.1.1.37:5002
四川卫视,http://xuys.top:8888/udp/225.1.1.123:5002
吉林卫视,http://xuys.top:8888/udp/225.1.1.44:5002
吉林卫视,http://xuys.top:8888/udp/225.1.2.26:5002
江苏卫视,http://xuys.top:8888/udp/225.1.1.52:5002
江苏卫视,http://xuys.top:8888/udp/225.1.1.126:5002
江西卫视,http://xuys.top:8888/udp/225.1.1.39:5002
江西卫视,http://xuys.top:8888/udp/225.1.2.29:5002
重庆卫视,http://xuys.top:8888/udp/225.1.1.60:5002
重庆卫视,http://xuys.top:8888/udp/225.1.1.155:5002
浙江卫视,http://xuys.top:8888/udp/225.1.1.33:5002
浙江卫视,http://xuys.top:8888/udp/225.1.1.112:5002
云南卫视,http://xuys.top:8888/udp/225.1.1.61:5002
新疆卫视,http://xuys.top:8888/udp/225.1.1.35:5002
西藏卫视,http://xuys.top:8888/udp/225.1.1.51:5002
天津卫视,http://xuys.top:8888/udp/225.1.1.1:5002
天津卫视,http://xuys.top:8888/udp/225.1.1.111:5002
河南卫视,http://xuys.top:8888/udp/225.1.1.53:5002
河南卫视,http://xuys.top:8888/udp/225.1.2.61:5002
黑龙江卫视,http://xuys.top:8888/udp/225.1.1.28:5002
黑龙江卫视,http://xuys.top:8888/udp/225.1.1.115:5002
湖北卫视,http://xuys.top:8888/udp/225.1.1.36:5002
湖北卫视,http://xuys.top:8888/udp/225.1.1.147:5002
湖南卫视,http://xuys.top:8888/udp/225.1.1.34:5002
湖南卫视,http://xuys.top:8888/udp/225.1.1.114:5002
海南卫视,http://xuys.top:8888/udp/225.1.1.31:5002
海南卫视,http://xuys.top:8888/udp/225.1.2.82:5002
河北卫视,http://xuys.top:8888/udp/225.1.1.49:5002
河北卫视,http://xuys.top:8888/udp/225.1.2.27:5002
安徽卫视,http://xuys.top:8888/udp/225.1.1.42:5002
安徽卫视,http://xuys.top:8888/udp/225.1.1.127:5002
北京卫视,http://xuys.top:8888/udp/225.1.1.47:5002
北京卫视,http://xuys.top:8888/udp/225.1.1.113:5002
兵团卫视,http://xuys.top:8888/udp/225.1.1.57:5002
甘肃卫视,http://xuys.top:8888/udp/225.1.1.30:5002
广东卫视,http://xuys.top:8888/udp/225.1.1.29:5002
广东卫视,http://xuys.top:8888/udp/225.1.1.116:5002
山东教育卫视,http://xuys.top:8888/udp/225.1.2.118:5002

🌏国际频道,#genre#
环球电视,http://zb.xzxwhcb.com:9999/hls/world.m3u8
中國環球,http://live.cgtn.com/500/prog_index.m3u8
半岛新闻,http://live-hls-web-aja.getaj.net/AJA/02.m3u8
俄罗斯频,https://rt-glb.rttv.com/dvr/rtnews/playlist_4500Kb.m3u8
乌克兰台,https://cdn.1tvcrimea.ru/1tvcrimea.m3u8
泰国ASTV,http://news1.live14.com/stream/news1_hi.m3u8
朝鲜新闻,http://119.77.96.184:1935/chn05/chn05/chunklist_w644291506.m3u8
韩国新闻,http://amdlive.ctnd.com.edgesuite.net:80/arirang_1ch/smil:arirang_1ch.smil/chunklist_b2256000_sleng.m3u8
环球频道,http://live.cgtn.com/500/prog_index.m3u8
红牛运动,http://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_928.m3u8
法国时尚,http://lb.streaming.sk/fashiontv/stream/chunklist.m3u8
法国时尚,http://lb.streaming.sk/fashiontv/stream/playlist.m3u8


省内频道,#genre#
山西卫视,http://liveflash.sxrtv.com/live/sxwshd.m3u8?sub_m3u8=true&edge_slice=true
山西经济,http://liveflash.sxrtv.com/live/sxfinance.m3u8?sub_m3u8=true&edge_slice=true
山西影视,http://liveflash.sxrtv.com/live/sxfilm.m3u8?sub_m3u8=true&edge_slice=true
山西黄河,http://liveflash.sxrtv.com/live/huanghe.m3u8?sub_m3u8=true&edge_slice=true
山西｜五台溶媒,https://568slnjf.live.sxmty.com/live/hls/90c8b2efeb164cc0a6c2409eed668d6b/f77cbb89ec57435b9ba4c47589c16e4f-1.m3u8?zshanxd.m3u8
运城1,http://live.0359tv.com/lsdream/ss4Lj11/live.m3u8
运城1,http://live.0359tv.com/lsdream/ss4Lj11/1000/live.m3u8
运城2,http://live.0359tv.com/lsdream/t667aTY/live.m3u8
运城2,http://live.0359tv.com/lsdream/t667aTY/1000/live.m3u8
运城2,http://live.0359tv.com/lsdream/t667aTY/1000/live.m3u8?zshanxd
盐湖频道,http://live.0359tv.com/lsdream/p5eq48m/live.m3u8
盐湖频道,http://live.0359tv.com/lsdream/p5eq48m/1000/live.m3u8
盐湖频道,http://live.0359tv.com/lsdream/p5eq48m/1000/live.m3u8?zshanxd
翼城综合,http://live.aiyicheng.com.cn/channel1/sd/live.m3u8?zshanxd 
高平综合,http://live.gprmt.cn/gpnews/hd/live.m3u8?zshanxd 
原平综合,http://xkmspyxn.live.sxmty.com/live/hls/65072fcc05414062bf02088d2a2a77b2/9da977614b044ef59d11779e997a12f8-1.m3u8?zshanxd
定襄,http://lbyzztfe.live.sxmty.com/live/hls/645ff4c60e0a49f0a203abbd73dd8be9/0720e665f10f48e98c9639f4f492fb4a-1.m3u8?zshanxd
山西｜晋中公共频道,http://jzlive.jztvnews.com:90/live/jzgg.m3u8
山西｜晋中新闻,http://jzlive.jztvnews.com:83/live/mount_for_ts/jzzh.m3u8?zshanxd
晋城公共,http://live.jinnews.com.cn/ggpd/sd/live.m3u8?zshanxd
晋城新闻,http://live.jinnews.com.cn/xwzh/sd/live.m3u8?zshanxd
翼城综合,http://live.aiyicheng.com.cn/channel1/sd/live.m3u8?zshanxd
长子综合,http://zzlive.zzc-media.com:8092/live/xwzh.m3u8?zshanxd
新平综合,http://livebroadcast.ccwb.cn/live/w1615257519790969.m3u8?zyund
吉县新闻综合,http://jxlive.jxrmtzx.com:8091/live/xwzh.m3u8?zshanxd
平遥新闻综合,https://tntgjhjb.live.sxmty.com/live/hls/3a4585ac11ec4e1bb07b419101b370c3/baf63e2b313440c2a25d7859f9b73b05-1.m3u8?zshanxd
高平综合,http://live.gprmt.cn/gpnews/hd/live.m3u8?zshanxd
霍州综合,https://iwlbdjk7.live.sxmty.com:443/live/hls/768ce7880a2545daac8d20a1910a399b/72b4712ef0224990ab744552c190f28c.m3u8
古县综合,https://l2fpdktp.live.sxmty.com/live/hls/e4c3b363cc4549788e2d983f403e07db/d99ce1eb686e41b9afc888110bd95aa7.m3u8?zshanxd
灵石新闻综合,https://live-stream.lsxrmtzx.com/live/video.m3u8?zshanxd
襄垣电视,http://video.xyxrmt.com/lsdream/2MAgsgb/1000/live.m3u8?zshanxd 
平鲁综合频道,https://stream.icelook.cn:443/790d0a0f38c07f31/6728300245723120644_1609747594.m3u8?auth_key=1893456000-0-0-0cc4be5653a88cdb748a4543643d0fdb
潞城新闻综合,http://59.48.42.6:62204/lucheng.m3u8?zshanxd 
长子综合,http://zzlive.zzc-media.com:8092/live/xwzh.m3u8?zshanxd 
临汾1,https://qmmqvzoz.live.sxmty.com/live/hls/f24f8a390c084386a564074c9260100c/be3fdf07606145739ab2c4b80fe0136a.m3u8 
五寨综合,https://stream.icelook.cn/cf2874738208c975/6727103226484622340_1607389965.m3u8?auth_key=1893456000-0-0-c8ce454296feaadfd96bc25904e2b688 
灵丘电视,https://stream.icelook.cn/1a7c625fde427dc3/6735154231323395076_1611041008.m3u8?auth_key=1893456000-0-0-fe9d45877d8cdddb4afccd9c1a12f3f8
怀仁综合,http://1yp7hc5p.live.sxmty.com/live/hls/bff8529922344209985b6e49baa9555a/efa2543628fc4a7ea93d3d6c975f77dc.m3u8?zshanxd

🔞欧美剧,#genre#
斯巴达克斯第一季1,https://v.cdnlz20.com/20240428/6158_f9665afe/index.m3u8
2,https://v.cdnlz20.com/20240428/6159_85cdafdb/index.m3u8
3,https://v.cdnlz20.com/20240428/6160_cb82525a/index.m3u8
4,https://v.cdnlz20.com/20240428/6161_4c6618ed/index.m3u8
5,https://v.cdnlz20.com/20240428/6162_7fb51d59/index.m3u8
6,https://v.cdnlz20.com/20240428/6163_8b573f18/index.m3u8
7,https://v.cdnlz20.com/20240428/6164_d97bef12/index.m3u8
8,ahttps://v.cdnlz20.com/20240428/6165_eafd9612/index.m3u8
9,https://v.cdnlz20.com/20240428/6166_f756b469/index.m3u8
10,https://v.cdnlz20.com/20240428/6167_989b5986/index.m3u8
11,https://v.cdnlz20.com/20240428/6168_8051c2d7/index.m3u8
12,https://v.cdnlz20.com/20240428/6169_08bca5d3/index.m3u8
13,https://v.cdnlz20.com/20240428/6170_3bc372ca/index.m3u8
🔞斯巴达克斯第二季,#genre#
1,https://v.cdnlz20.com/20240428/6171_3a73fc91/index.m3u8
2,https://v.cdnlz20.com/20240428/6172_3d539f81/index.m3u8
3,https://v.cdnlz20.com/20240428/6173_64e012cf/index.m3u8
4,https://v.cdnlz20.com/20240428/6174_f3dbc030/index.m3u8
5,https://v.cdnlz20.com/20240428/6175_725417b6/index.m3u8
6,https://v.cdnlz20.com/20240428/6176_486621d8/index.m3u8
7,https://v.cdnlz20.com/20240428/6177_8f5d3718/index.m3u8
8,https://v.cdnlz20.com/20240428/6178_d6a1a40b/index.m3u8
9,https://v.cdnlz20.com/20240428/6179_d40ddd9b/index.m3u8
10,https://v.cdnlz20.com/20240428/6180_f2c537e3/index.m3u8
🔞斯巴达克斯第三季,#genre#
1,https://v.cdnlz20.com/20240428/6181_6183beb5/index.m3u8
2,https://v.cdnlz20.com/20240428/6182_0f30505e/index.m3u8
3,https://v.cdnlz20.com/20240428/6183_99685e14/index.m3u8
4,https://v.cdnlz20.com/20240428/6184_927171f4/index.m3u8
5,https://v.cdnlz20.com/20240428/6185_3d5ca79f/index.m3u8
6,https://v.cdnlz20.com/20240428/6186_18a07dd6/index.m3u8
7,https://v.cdnlz20.com/20240428/6187_caaf157d/index.m3u8
8,https://v.cdnlz20.com/20240428/6188_7ae3cdd8/index.m3u8
9,https://v.cdnlz20.com/20240428/6189_31fbf6c4/index.m3u8
10https://v.cdnlz20.com/20240428/6190_6edf0839/index.m3u8


电影频道,#genre#

第一滴血1,https://v1.tlkqc.com/wjv1/202308/19/pNJFpC1QKu2/video/index.m3u8
第一滴血1,https://v1.tlkqc.com/wjv1/202308/19/pNJFpC1QKu2/video/1000k_0X720_64k_25/hls/index.m3u8
第一滴血2,https://v1.tlkqc.com/wjv1/202308/19/eU36eQR4Lq2/video/index.m3u8
第一滴血2,https://v1.tlkqc.com/wjv1/202308/19/eU36eQR4Lq2/video/1000k_0X720_64k_25/hls/index.m3u8
第一滴血3,https://v1.tlkqc.com/wjv1/202308/19/MVwR47kFME2/video/index.m3u8
第一滴血3,https://v1.tlkqc.com/wjv1/202308/19/MVwR47kFME2/video/1000k_0X720_64k_25/hls/index.m3u8
第一滴血4,https://ikcdn01.ikzybf.com/20221009/Bu8hnDT7/index.m3u8
第一滴血4,https://ikcdn01.ikzybf.com/20221009/Bu8hnDT7/2000kb/hls/index.m3u8
第一滴血5,https://yzzy1.play-cdn20.com/20240309/19215_3730f4d4/index.m3u8
第一滴血5,https://yzzy1.play-cdn20.com/20240309/19215_3730f4d4/2000k/hls/mixed.m3u8
第一滴血5,https://two.svipplay.com/lzm3u8/949865c37671c0ec242e01dc331406d5.m3u8?token=Ir_MwgK1LPCjQcbxAVYZDw&expires=1716723163
古墓丽影源起之战,https://hd.ijycnd.com/play/PdRk2weG/index.m3u8
古墓丽影2,https://hd.ijycnd.com/play/xe7YNBb7/index.m3u8

❤️影视频道,#genre#

家庭影院,http://hjf.sihanlin.top:9901/tsfile/live/1112_1.m3u8
动作电影,http://hjf.sihanlin.top:9901/tsfile/live/1113_1.m3u8
高清电影,http://hjf.sihanlin.top:9901/tsfile/live/1114_1.m3u8
经典电影,http://hjf.sihanlin.top:9901/tsfile/live/1116_1.m3u8
神乐影院-1台,https://tc-tc2-interact.douyucdn2.cn/dyliveflv1/85894rmovieChow_900p.m3u8
神乐影院-2台,https://tc-tc2-interact.douyucdn2.cn/dyliveflv1a/122402rK7MO9bXSq_900.m3u8
