🎱IPv4一区,#genre#



中国天气,http://hls.weathertv.cn/tslslive/qCFIfHB/hls/live_sd.m3u8

CCTV1,http://114.245.91.37:18888/udp/239.3.1.129:8008
CCTV1,http://111.192.84.72:4022/udp/239.3.1.129:8008
CCTV1,http://114.252.227.154:8000/udp/239.3.1.129:8008
CCTV2,http://114.252.227.154:8000/udp/239.3.1.60:8084
CCTV2,http://111.192.84.72:4022/udp/239.3.1.60:8084
CCTV2,http://114.245.91.37:18888/udp/239.3.1.60:8084
CCTV3,http://114.245.91.37:18888/udp/239.3.1.172:8001
CCTV3,http://114.252.227.154:8000/udp/239.3.1.172:8001
CCTV3,http://111.192.84.72:4022/udp/239.3.1.172:8001
CCTV4,http://114.245.91.37:18888/udp/239.3.1.213:4220
CCTV4,http://114.252.227.154:8000/udp/239.3.1.105:8092
CCTV4,http://111.192.84.72:4022/udp/239.3.1.105:8092
CCTV4,http://114.252.227.154:8000/udp/239.3.1.214:4220
CCTV4,http://111.192.84.72:4022/udp/239.3.1.213:4220
CCTV4,http://111.192.84.72:4022/udp/239.3.1.214:4220
CCTV4,http://114.245.91.37:18888/udp/239.3.1.214:4220
CCTV4,http://114.245.91.37:18888/udp/239.3.1.105:8092
CCTV4,http://114.252.227.154:8000/udp/239.3.1.213:4220
CCTV5+,http://114.252.227.154:8000/udp/239.3.1.130:8004
CCTV5,http://114.252.227.154:8000/udp/239.3.1.173:8001
CCTV5+,http://114.245.91.37:18888/udp/239.3.1.130:8004
CCTV5+,http://111.192.84.72:4022/udp/239.3.1.130:8004
CCTV5,http://111.192.84.72:4022/udp/239.3.1.173:8001
CCTV5,http://114.245.91.37:18888/udp/239.3.1.173:8001
CCTV6,http://114.252.227.154:8000/udp/239.3.1.174:8001
CCTV6,http://114.245.91.37:18888/udp/239.3.1.174:8001
CCTV6,http://111.192.84.72:4022/udp/239.3.1.174:8001
CCTV7,http://114.252.227.154:8000/udp/239.3.1.61:8104
CCTV7,http://111.192.84.72:4022/udp/239.3.1.61:8104
CCTV7,http://114.245.91.37:18888/udp/239.3.1.61:8104
CCTV8,http://114.245.91.37:18888/udp/239.3.1.175:8001
CCTV8,http://114.252.227.154:8000/udp/239.3.1.175:8001
CCTV8,http://111.192.84.72:4022/udp/239.3.1.175:8001
CCTV9,http://114.245.91.37:18888/udp/239.3.1.62:8112
CCTV9,http://114.252.227.154:8000/udp/239.3.1.62:8112
CCTV9,http://111.192.84.72:4022/udp/239.3.1.62:8112
CCTV10,http://114.245.91.37:18888/udp/239.3.1.63:8116
CCTV10,http://114.252.227.154:8000/udp/239.3.1.63:8116
CCTV10,http://111.192.84.72:4022/udp/239.3.1.63:8116
CCTV11,http://114.252.227.154:8000/udp/239.3.1.152:8120
CCTV11,http://111.192.84.72:4022/udp/239.3.1.152:8120
CCTV11,http://114.245.91.37:18888/udp/239.3.1.152:8120
CCTV12,http://114.245.91.37:18888/udp/239.3.1.64:8124
CCTV12,http://111.192.84.72:4022/udp/239.3.1.64:8124
CCTV12,http://114.252.227.154:8000/udp/239.3.1.64:8124
CCTV13,http://111.192.84.72:4022/udp/239.3.1.124:8128
