
港澳台一线,#genre#


TVB 翡翠台,http://wanjiatv.net/hktv.php?id=feicui
TVB 无线新闻台,http://wanjiatv.net/hktv.php?id=tvb-news
TVB PLUS,http://wanjiatv.net/hktv.php?id=tvb-plus
TVB 黄金翡翠台,http://wanjiatv.net/hktv.php?id=golden-jade
TVB 黄金华剧台,http://wanjiatv.net/hktv.php?id=golden-chinese-drama
TVB 千禧经典台,http://wanjiatv.net/hktv.php?id=tvb-classic
TVB 粤语片台,http://wanjiatv.net/hktv.php?id=tvb-yueyu
TVB 星河台,http://wanjiatv.net/hktv.php?id=tvb-xinghe
TVB 亚洲剧台,http://wanjiatv.net/hktv.php?id=tvb-asia-drama
TVB 娱乐新闻台,http://wanjiatv.net/hktv.php?id=TVB ylxw
J2,http://wanjiatv.net/hktv.php?id=j2
TVB 明珠台,http://wanjiatv.net/hktv.php?id=pearl
TVB 华语剧台,http://wanjiatv.net/hktv.php?id=tvb-drama
凤凰卫视 资讯台,http://wanjiatv.net/hktv.php?id=phtv-info
凤凰卫视 中文台,http://wanjiatv.net/hktv.php?id=phtv-cn
凤凰卫视 香港台,http://wanjiatv.net/hktv.php?id=phtv-hk
HOY 资讯台,http://wanjiatv.net/hktv.php?id=hoy-info
HOY TV,http://wanjiatv.net/hktv.php?id=hoytv
HOY国际财经,http://wanjiatv.net/hktv.php?id=hoy-ibc
ViuTV,http://wanjiatv.net/hktv.php?id=viutv
ViuTV6,http://wanjiatv.net/hktv.php?id=viutv6
天映频道,http://wanjiatv.net/hktv.php?id=celestial
天映经典,http://wanjiatv.net/hktv.php?id=cccm
Thrill,http://wanjiatv.net/hktv.php?id=thrill
星空卫视,http://wanjiatv.net/hktv.php?id=star-xing-kong
香港卫视,http://wanjiatv.net/hktv.php?id=hks
澳亚卫视,http://wanjiatv.net/hktv.php?id=mastv
澳门卫视,http://wanjiatv.net/hktv.php?id=mstv
澳门莲花卫视,http://wanjiatv.net/hktv.php?id=lotustv
澳门资讯,http://wanjiatv.net/hktv.php?id=tdm-information
澳视澳门,http://wanjiatv.net/hktv.php?id=tdm
HKC 18台,http://wanjiatv.net/hktv.php?id=hkc18
港台电视 31,http://wanjiatv.net/hktv.php?id=rthk31
港台电视 32,http://wanjiatv.net/hktv.php?id=rthk32
Now Sports 618 欧洲杯,http://wanjiatv.net/hktv.php?id=now-sports-618
Now 财经台,http://wanjiatv.net/hktv.php?id=now-finance
Now 爆谷台,http://wanjiatv.net/hktv.php?id=baogu-movies
Now 星影台,http://wanjiatv.net/hktv.php?id=now-baogu-superstars
Now 新闻台,http://wanjiatv.net/hktv.php?id=now-news
Now 直播台,http://wanjiatv.net/hktv.php?id=now-direct
Now报价台,http://wanjiatv.net/hktv.php?id=now-data
Now jelli紫金国际台,http://wanjiatv.net/hktv.php?id=now-jelli
Now华剧台,http://wanjiatv.net/hktv.php?id=now-chinese-drama
HBO Now115,http://wanjiatv.net/hktv.php?id=Now-HBO
Now HBO Hits,http://wanjiatv.net/hktv.php?id=now-hbo-hits
Now HBO Family,http://wanjiatv.net/hktv.php?id=now-hbof-amily
Now HBO Signature,http://wanjiatv.net/hktv.php?id=now-hbo-signature
