
♥央视频道,#genre#
CCTV-1综合高清,http://opdf.top:8088/rtp/239.81.0.102:4056
CCTV-2财经高清,http://opdf.top:8088/rtp/239.81.0.115:4056
CCTV-3综艺高清,http://opdf.top:8088/rtp/239.81.0.231:4056
CCTV-4中文国际高清,http://opdf.top:8088/rtp/239.81.0.96:4056
CCTV-5体育高清,http://opdf.top:8088/rtp/239.81.0.232:4056
CCTV-6电影高清,http://opdf.top:8088/rtp/239.81.0.233:4056
CCTV-7国防军事高清,http://opdf.top:8088/rtp/239.81.0.116:4056
CCTV-8电视剧高清,http://opdf.top:8088/rtp/239.81.0.234:4056
CCTV-9纪录高清,http://opdf.top:8088/rtp/239.81.0.117:4056
CCTV-10科教高清,http://opdf.top:8088/rtp/239.81.0.118:4056
CCTV-11戏曲高清,http://opdf.top:8088/rtp/239.81.0.229:4056
CCTV-12社会与法高清,http://opdf.top:8088/rtp/239.81.0.119:4056
CCTV-13新闻高清,http://opdf.top:8088/rtp/239.81.0.206:4056
CCTV-14少儿高清,http://opdf.top:8088/rtp/239.81.0.120:4056
CCTV-15音乐高清,http://opdf.top:8088/rtp/239.81.0.230:4056
CCTV-5＋体育赛事高清,http://opdf.top:8088/rtp/239.81.0.101:4056
CCTV-16奥林匹克高清,http://opdf.top:8088/rtp/239.81.0.142:4056
CCTV-17农业农村高清,http://opdf.top:8088/rtp/239.81.0.228:4056


CCTV-1,http://114.225.164.106:12999/hls/1/index.m3u8
CCTV-2,http://114.225.164.106:12999/hls/2/index.m3u8
CCTV-3,http://114.225.164.106:12999/hls/3/index.m3u8
CCTV-4,http://114.225.164.106:12999/hls/4/index.m3u8
CCTV-5,http://114.225.164.106:12999/hls/5/index.m3u8
CCTV-5+,http://114.225.164.106:12999/hls/6/index.m3u8
CCTV-6,http://114.225.164.106:12999/hls/7/index.m3u8
CCTV-7,http://114.225.164.106:12999/hls/8/index.m3u8
CCTV-8,http://114.225.164.106:12999/hls/9/index.m3u8
CCTV-9,http://114.225.164.106:12999/hls/10/index.m3u8
CCTV-10,http://114.225.164.106:12999/hls/11/index.m3u8
CCTV-11,http://114.225.164.106:12999/hls/12/index.m3u8
CCTV-12,http://114.225.164.106:12999/hls/13/index.m3u8
CCTV-13,http://114.225.164.106:12999/hls/14/index.m3u8
CCTV-14,http://114.225.164.106:12999/hls/15/index.m3u8
CCTV-15,http://114.225.164.106:12999/hls/16/index.m3u8
CCTV-17,http://114.225.164.106:12999/hls/25/index.m3u8



❤️卫视频道,#genre#
北京北京卫视,http://1.202.9.192:8888/udp/225.1.8.121:8002
北京文艺,http://1.202.9.192:8888/udp/225.1.8.122:8002
北京科教,http://1.202.9.192:8888/udp/225.1.8.123:8002
北京影视,http://1.202.9.192:8888/udp/225.1.8.124:8002
北京财经,http://1.202.9.192:8888/udp/225.1.8.125:8002
北京冬奥纪实,http://1.202.9.192:8888/udp/225.1.8.126:8002
北京生活,http://1.202.9.192:8888/udp/225.1.8.127:8002
北京青年,http://1.202.9.192:8888/udp/225.1.8.128:8002
北京新闻,http://1.202.9.192:8888/udp/225.1.8.129:8002
北京卡酷少儿,http://1.202.9.192:8888/udp/225.1.8.130:8002
北京国际,http://1.202.9.192:8888/udp/225.1.8.131:8002
湖南卫视,http://1.202.9.192:8888/udp/225.1.8.132:8064
浙江卫视,http://1.202.9.192:8888/udp/225.1.8.133:8284
江苏卫视,http://1.202.9.192:8888/udp/225.1.8.134:8276
安徽卫视,http://1.202.9.192:8888/udp/225.1.8.135:8272
天津卫视,http://1.202.9.192:8888/udp/225.1.8.136:8144
辽宁卫视,http://1.202.9.192:8888/udp/225.1.8.137:8116
山东卫视,http://1.202.9.192:8888/udp/225.1.8.138:8148
云南卫视,http://1.202.9.192:8888/udp/225.1.8.139:8108
河南卫视,http://1.202.9.192:8888/udp/225.1.8.140:8128
黑龙江卫视,http://1.202.9.192:8888/udp/225.1.8.141:8196
四川卫视,http://1.202.9.192:8888/udp/225.1.8.142:8288
江西卫视,http://1.202.9.192:8888/udp/225.1.8.143:8280
贵州卫视,http://1.202.9.192:8888/udp/225.1.8.144:8120
深圳卫视,http://1.202.9.192:8888/udp/225.1.8.145:9244
湖北卫视,http://1.202.9.192:8888/udp/225.1.8.146:8136
东方卫视,http://1.202.9.192:8888/udp/225.1.8.147:8192
重庆卫视,http://1.202.9.192:8888/udp/225.1.8.148:8296
东南卫视,http://1.202.9.192:8888/udp/225.1.8.149:8112
河北卫视,http://1.202.9.192:8888/udp/225.1.8.150:8292
广东卫视,http://1.202.9.192:8888/udp/225.1.8.151:8132
南方卫视,http://1.202.9.192:8888/udp/225.1.8.225:5008
广西卫视,http://1.202.9.192:8888/udp/225.1.8.152:8300
吉林卫视,http://1.202.9.192:8888/udp/225.1.8.153:8200
陕西卫视,http://1.202.9.192:8888/udp/225.1.8.154:8140
山西卫视,http://1.202.9.192:8888/udp/225.1.8.155:8172
内蒙古卫视,http://1.202.9.192:8888/udp/225.1.8.156:8176
青海卫视,http://1.202.9.192:8888/udp/225.1.8.157:8184
海南卫视,http://1.202.9.192:8888/udp/225.1.8.158:8304
宁夏卫视,http://1.202.9.192:8888/udp/225.1.8.159:8124
西藏卫视,http://1.202.9.192:8888/udp/225.1.8.160:8164
新疆卫视,http://1.202.9.192:8888/udp/225.1.8.161:8160
甘肃卫视,http://1.202.9.192:8888/udp/225.1.8.162:8188
厦门卫视,http://1.202.9.192:8888/udp/225.1.8.166:4120
兵团卫视,http://1.202.9.192:8888/udp/225.1.8.167:4120
山东教育卫视,http://1.202.9.192:8888/udp/225.1.8.190:4120
三沙卫视,http://1.202.9.192:8888/udp/225.1.8.78:4120
金鹰卡通,http://1.202.9.192:8888/udp/225.1.8.163:9252
财富天下,http://1.202.9.192:8888/udp/225.1.8.165:9136


❤️地方台,#genre#
北京卫视,http://1.202.9.192:8888/udp/225.1.8.21:8002
北京文艺,http://1.202.9.192:8888/udp/225.1.8.22:8002
北京科教,http://1.202.9.192:8888/udp/225.1.8.105:8002
北京影视,http://1.202.9.192:8888/udp/225.1.8.82:8000
北京财经,http://1.202.9.192:8888/udp/225.1.8.106:8002
北京冬奥纪实,http://1.202.9.192:8888/udp/225.1.8.23:8002
北京生活,http://1.202.9.192:8888/udp/225.1.8.108:8002
北京青年,http://1.202.9.192:8888/udp/225.1.8.118:8002
北京新闻,http://1.202.9.192:8888/udp/225.1.8.83:8000
北京卡酷少儿,http://1.202.9.192:8888/udp/225.1.8.35:8000
庆卫视,http://1.202.9.192:8888/udp/225.1.8.148:8296
东南卫视,http://1.202.9.192:8888/udp/225.1.8.149:8112
河北卫视,http://1.202.9.192:8888/udp/225.1.8.150:8292
广东卫视,http://1.202.9.192:8888/udp/225.1.8.151:8132
南方卫视,http://1.202.9.192:8888/udp/225.1.8.225:5008
广西卫视,http://1.202.9.192:8888/udp/225.1.8.152:8300
吉林卫视,http://1.202.9.192:8888/udp/225.1.8.153:8200
陕西卫视,http://1.202.9.192:8888/udp/225.1.8.154:8140
山西卫视,http://1.202.9.192:8888/udp/225.1.8.155:8172
内蒙古卫视,http://1.202.9.192:8888/udp/225.1.8.156:8176
青海卫视,http://1.202.9.192:8888/udp/225.1.8.157:8184
天津影视,http://nas.hssvm.com:8888/udp/225.1.1.149:5002
天津都市,http://nas.hssvm.com:8888/udp/225.1.1.128:5002
天津体育,http://nas.hssvm.com:8888/udp/225.1.1.122:5002
天津科教,http://nas.hssvm.com:8888/udp/225.1.1.129:5002
天津少儿,http://nas.hssvm.com:8888/udp/225.1.1.125:5002
天津购物,http://nas.hssvm.com:8888/udp/225.1.1.151:5002
天津IPTV,http://nas.hssvm.com:8888/udp/225.1.2.123:5002
天津购物自营,http://nas.hssvm.com:8888/udp/225.1.1.108:5002
天津文艺广播,http://nas.hssvm.com:8888/udp/225.1.1.171:5002
天津经济广播,http://nas.hssvm.com:8888/udp/225.1.1.172:5002
天津新闻广播,http://nas.hssvm.com:8888/udp/225.1.1.173:5002
天津生活广播,http://nas.hssvm.com:8888/udp/225.1.1.174:5002
天津交通广播,http://nas.hssvm.com:8888/udp/225.1.1.175:5002
建综合,http://125.78.13.118:4022/rtp/239.61.2.1:8000
福建综合,http://125.78.13.118:4022/rtp/239.61.3.4:9542
福建公共频道,http://125.78.13.118:4022/rtp/239.61.2.3:8012
福建新闻,http://125.78.13.118:4022/rtp/239.61.2.4:8018
福建电视剧,http://125.78.13.118:4022/rtp/239.61.2.5:8024
福建旅游,http://125.78.13.118:4022/rtp/239.61.2.6:8030
福建经济生活,http://125.78.13.118:4022/rtp/239.61.2.7:8036
福建体育,http://125.78.13.118:4022/rtp/239.61.2.160:8948
浙江卫视标清,http://iptvcyp.top:9901//tsfile/live/1048_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视标清,http://iptvcyp.top:9901//tsfile/live/1051_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视标清,http://iptvcyp.top:9901//tsfile/live/1053_1.m3u8?key=txiptv&playlive=1&authid=0
云南卫视标清,http://iptvcyp.top:9901//tsfile/live/1050_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视标清,http://iptvcyp.top:9901//tsfile/live/1054_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视标清,http://iptvcyp.top:9901//tsfile/live/1055_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视标清,http://iptvcyp.top:9901//tsfile/live/1057_1.m3u8?key=txiptv&playlive=1&authid=0
陕西卫视标清,http://iptvcyp.top:9901//tsfile/live/1058_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视标清,http://iptvcyp.top:9901//tsfile/live/1059_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视标清,http://iptvcyp.top:9901//tsfile/live/1060_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江视标清,http://iptvcyp.top:9901//tsfile/live/1064_1.m3u8?key=txiptv&playlive=1&authid=0
云南卫视标清,http://iptvcyp.top:9901//tsfile/live/1065_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视标清,http://iptvcyp.top:9901//tsfile/live/1066_1.m3u8?key=txiptv&playlive=1&authid=0
山东教育标清,http://iptvcyp.top:9901//tsfile/live/1067_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视标清,http://iptvcyp.top:9901//tsfile/live/1069_1.m3u8?key=txiptv&playlive=1&authid=0
邵阳新闻标清,http://iptvcyp.top:9901//tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0
邵阳公共标清,http://iptvcyp.top:9901//tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0
邵阳电视高清,http://iptvcyp.top:9901//tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0
湖南娱乐高清,http://iptvcyp.top:9901//tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0
湖南电视高清,http://iptvcyp.top:9901//tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
湖南电影高清,http://iptvcyp.top:9901//tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0
湖南都市高清,http://iptvcyp.top:9901//tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
湖南国际高清,http://iptvcyp.top:9901//tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
湖南电影高清,http://iptvcyp.top:9901//tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
湖南都市高清,http://iptvcyp.top:9901//tsfile/live/1031_1.m3u8?key=txiptv&playlive=1&authid=0
湖南娱乐高清,http://iptvcyp.top:9901//tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0
湖南经视标清,http://iptvcyp.top:9901//tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
湖南教育标清,http://iptvcyp.top:9901//tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视高清,http://223.10.16.5:8085/udp/239.1.1.37:8037
浙江卫视高清,http://223.10.16.5:8085/udp/239.1.1.38:8038
深圳卫视高清,http://223.10.16.5:8085/udp/239.1.1.39:8039
广西卫视,http://223.10.16.5:8085/udp/239.1.1.40:8040
北京卫视高清,http://223.10.16.5:8085/udp/239.1.1.41:8041
辽宁卫视高清,http://223.10.16.5:8085/udp/239.1.1.42:8042
贵州卫视高清,http://223.10.16.5:8085/udp/239.1.1.43:8043
安徽卫视高清,http://223.10.16.5:8085/udp/239.1.1.44:8044
纪实人文高清,http://223.10.16.5:8085/udp/239.1.1.45:8045
天津卫视高清,http://223.10.16.5:8085/udp/239.1.1.46:8046
山东卫视高清,http://223.10.16.5:8085/udp/239.1.1.47:8047
河北卫视高清,http://223.10.16.5:8085/udp/239.1.1.48:8048
广东卫视高清,http://223.10.16.5:8085/udp/239.1.1.49:8049
江西卫视高清,http://223.10.16.5:8085/udp/239.1.1.52:8052

❤️埋堆堆,#genre#
埋堆堆 𝟙,http://live.iill.top/huya.php?id=23740156
埋堆堆 𝟚,http://live.iill.top/huya.php?id=23749096
埋堆堆 𝟛,http://live.iill.top/huya.php?id=23735126
埋堆堆 𝟜,http://live.iill.top/huya.php?id=23903123
埋堆堆 𝟝,http://live.iill.top/huya.php?id=23734169
埋堆堆 𝟞,http://live.iill.top/huya.php?id=23863804
埋堆堆 𝟟,http://live.iill.top/huya.php?id=23865080
埋堆堆 𝟠,http://live.iill.top/huya.php?id=23864973
埋堆堆 𝟡,http://live.iill.top/huya.php?id=23903130
埋堆堆 𝟙𝟘,http://live.iill.top/huya.php?id=23860039
埋堆堆 𝟙𝟙,http://live.iill.top/huya.php?id=23903183
埋堆堆 𝟙𝟚,http://live.iill.top/huya.php?id=23903196
埋堆堆 𝟙𝟛,http://live.iill.top/huya.php?id=23728674
埋堆堆 𝟙𝟜,http://live.iill.top/huya.php?id=23865036
埋堆堆 𝟙𝟝,http://live.iill.top/huya.php?id=23829543
埋堆堆 𝟙𝟞,http://live.iill.top/huya.php?id=23865161
埋堆堆 𝟙𝟟,http://live.iill.top/huya.php?id=23865058
埋堆堆 𝟙𝟠,http://live.iill.top/huya.php?id=23824164
埋堆堆 𝟙𝟡,http://live.iill.top/huya.php?id=23863796
埋堆堆 𝟚𝟘,http://live.iill.top/huya.php?id=23734183
埋堆堆 𝟚𝟙,http://live.iill.top/huya.php?id=23728660
埋堆堆 𝟚𝟚,http://live.iill.top/huya.php?id=23865142
埋堆堆 𝟚𝟛,http://live.iill.top/huya.php?id=23734246
埋堆堆 𝟚𝟜,http://live.iill.top/huya.php?id=23865171
埋堆堆 𝟚𝟝,http://live.iill.top/huya.php?id=23734256
埋堆堆 𝟚𝟞,http://live.iill.top/huya.php?id=23749083


❤️香港频道,#genre#
凤凰中文,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pcc72.m3u8
凤凰资讯,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.m3u8
凤凰香港,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
耀才财经台HD,https://v3.mediacast.hk/webcast/bshdlive-pc/playlist.m3u8
香港佛陀,https://js1.amtb.cn/liveedge/_definst_/livetv/playlist.m3u8
面包台,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
星空卫视,http://wouu.net:9977/udp/239.93.0.156:2193
香港卫视,http://cctvtxyh5c.liveplay.myqcloud.com/cstv/xianggangweishi_2/index.m3u8
香港34台全网,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream02/streamPlaylist.m3u8
港台RTHK33HD,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream03/streamPlaylist.m3u8
港台RTHK34HD,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/
❤️台湾频道,#genre#
民视,rtmp://f13h.mine.nu/sat/tv051
台视,rtmp://f13h.mine.nu/sat/tv071
中视,rtmp://f13h.mine.nu/sat/tv091
华视,rtmp://f13h.mine.nu/sat/tv111
公视,http://194.87.101.118/live.m3u8?c=8
动物世界,http://61.221.215.25:8800/hls/1/index.m3u8
TVBS NEWS,http://61.221.215.25:8800/hls/9/index.m3u8
八大戏剧,http://61.221.215.25:8800/hls/39/index.m3u8
中华小当家,http://61.221.215.25:8800/hls/40/index.m3u8
三立戏剧,http://61.221.215.25:8800/hls/41/index.m3u8
AMC电影台,http://61.221.215.25:8800/hls/43/index.m3u8
纬来精彩,http://61.221.215.25:8800/hls/48/index.m3u8
探索亚洲,http://61.221.215.25:8800/hls/50/index.m3u8
NHK WORLD,http://61.221.215.25:8800/hls/51/index.m3u8
八大第一,http://61.221.215.25:8800/hls/55/index.m3u8
八大综合,http://61.221.215.25:8800/hls/56/index.m3u8
动物星球,http://61.221.215.25:8800/hls/57/index.m3u8
八大戲劇台HD,http://61.221.215.25:8800/hls/39/index.m3u8
八大綜合台HD,http://61.221.215.25:8800/hls/56/index.m3u8
八大第1台HD,http://61.221.215.25:8800/hls/55/index.m3u8
三立戲劇台,http://61.221.215.25:8800/hls/41/index.m3u8
AMC電影台,http://61.221.215.25:8800/hls/43/index.m3u8
探索亞洲,http://61.221.215.25:8800/hls/50/index.m3u8
動物星球,http://61.221.215.25:8800/hls/57/index.m3u8
香港J2频道,http://r.jdshipin.com/Nr5jq
RTHK32,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream2/streamPlaylist.m3u8
澳门莲花,https://cntv.sbs/tv/lhws.php
澳门莲花,https://p.ggiptv.com/v/macaulotustv.php
澳门莲花,http://anren.live/HK/BiIOU11uLA.m3u8
澳门莲花,http://nettvpro.live/hls/lotustv.php?zgangd


❤️Dj视频,#genre#
电视家,https://vd4.bdstatic.com/mda-ncdfurx49ht1fh9w/720p/h264_delogo/1647256721820297861/mda-ncdfurx49ht1fh9w.mp4
电视家常,https://vd4.bdstatic.com/mda-nc005jwr87jrdssh/sc/cae_h264_delogo/1646179767551234681/mda-nc005jwr87jrdssh.mp4
伤感DJ串烧为爱流泪,https://vd3.bdstatic.com/mda-nci8jqpzeyqkhdxe/720p/h264_delogo/1647670097763149460/mda-nci8jqpzeyqkhdxe.mp4
林翠萍的《我太傻》,https://vd2.bdstatic.com/mda-mb5qq1ic4yvekk6r/v2-hknm/sc/mda-mb5qq1ic4yvekk6r.mp4
伤心的眼泪,https://vd3.bdstatic.com/mda-ncn2c816zrf6u0im/sc/cae_h264_delogo/1648002300550722369/mda-ncn2c816zrf6u0im.mp4
《英雄泪》,https://vd3.bdstatic.com/mda-ncnp6tm56ngrxbis/360p/h264_delogo/1648055585617071282/mda-ncnp6tm56ngrxbis.mp4
2022几首DJ串烧,https://vd3.bdstatic.com/mda-nck3tqzgjvj076vc/sc/cae_h264_delogo/1647833645083560959/mda-nck3tqzgjvj076vc.mp4
