
✨中央电视,#genre#
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
CCTV3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV8,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV9,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
CCTV14,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV16,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV17,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
CCTV4K,http://27.222.3.214/liveali-tp4k.cctv.cn/live/4K10M.stream/playlist.m3u8
CCTV1,http://60.6.255.8:2180/live/cctv1/index.m3u8
CCTV1,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv1
CCTV1,http://222.223.118.222:2180/live/cctv1/index.m3u8
CCTV1,http://183.92.4.163:4000/udp/228.0.0.1:6108
CCTV1,http://222.241.154.37:9901/tsfile/live/23001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://60.6.255.8:2180/live/cctv2/index.m3u8
CCTV2,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv2
CCTV2,http://222.223.118.222:2180/live/cctv2/index.m3u8
CCTV2,http://183.92.4.163:4000/udp/228.0.0.2:6108
CCTV2,http://222.241.154.37:9901/tsfile/live/23002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://60.6.255.8:2180/live/cctv3/index.m3u8
CCTV3,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv3
CCTV3,http://222.223.118.222:2180/live/cctv3/index.m3u8
CCTV3,http://183.92.4.163:4000/udp/228.0.0.156:7156
CCTV3,http://222.241.154.37:9901/tsfile/live/23003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://60.6.255.8:2180/live/cctv4/index.m3u8
CCTV4,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv4
CCTV4,http://222.223.118.222:2180/live/cctv4/index.m3u8
CCTV4,http://183.92.4.163:4000/udp/228.0.0.143:7143
CCTV4,http://222.241.154.37:9901/tsfile/live/23004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://60.6.255.8:2180/live/cctv5/index.m3u8
CCTV5,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv5
CCTV5,http://222.223.118.222:2180/live/cctv5/index.m3u8
CCTV5,http://183.92.4.163:4000/udp/228.0.0.112:6108
CCTV5,http://222.241.154.37:9901/tsfile/live/23005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://60.6.255.8:2180/live/cctv5q/index.m3u8
CCTV5+,http://zy.otioi.cn/live/live.php?token=zy-2969297279&id=cctv5p
CCTV5+,http://222.223.118.222:2180/live/cctv5q/index.m3u8
CCTV5+,http://183.92.4.163:4000/udp/228.0.0.17:6108
CCTV5+,http://222.241.154.37:9901/tsfile/live/23018_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://60.6.255.8:2180/live/cctv6/index.m3u8
CCTV6,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv6
CCTV6,http://222.223.118.222:2180/live/cctv6/index.m3u8
CCTV6,http://183.92.4.163:4000/udp/228.0.0.157:7157
CCTV6,http://222.241.154.37:9901/tsfile/live/23006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://60.6.255.8:2180/live/cctv7/index.m3u8
CCTV7,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv7
CCTV7,http://222.223.118.222:2180/live/cctv7/index.m3u8
CCTV7,http://183.92.4.163:4000/udp/228.0.0.7:6108
CCTV7,http://222.241.154.37:9901/tsfile/live/23007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://60.6.255.8:2180/live/cctv8/index.m3u8
CCTV8,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv8
CCTV8,http://222.223.118.222:2180/live/cctv8/index.m3u8
CCTV8,http://183.92.4.163:4000/udp/228.0.0.158:7158
CCTV8,http://222.241.154.37:9901/tsfile/live/23008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://60.6.255.8:2180/live/cctv9/index.m3u8
CCTV9,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv9
CCTV9,http://222.223.118.222:2180/live/cctv9/index.m3u8
CCTV9,http://183.92.4.163:4000/udp/228.0.0.9:6108
CCTV9,http://222.241.154.37:9901/tsfile/live/23009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://60.6.255.8:2180/live/cctv10/index.m3u8
CCTV10,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv10
CCTV10,http://222.223.118.222:2180/live/cctv10/index.m3u8
CCTV10,http://183.92.4.163:4000/udp/228.0.0.10:6108
CCTV10,http://222.241.154.37:9901/tsfile/live/23010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://60.6.255.8:2180/live/cctv11/index.m3u8
CCTV11,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv11
CCTV11,http://222.223.118.222:2180/live/cctv11/index.m3u8
CCTV11,http://183.92.4.163:4000/udp/228.0.0.242:6108
CCTV11,http://222.241.154.37:9901/tsfile/live/23011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://60.6.255.8:2180/live/cctv12/index.m3u8
CCTV12,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv12
CCTV12,http://222.223.118.222:2180/live/cctv12/index.m3u8
CCTV12,http://183.92.4.163:4000/udp/228.0.0.12:6108
CCTV12,http://222.241.154.37:9901/tsfile/live/23012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://60.6.255.8:2180/live/cctv13/index.m3u8
CCTV13,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv13
CCTV13,http://222.223.118.222:2180/live/cctv13/index.m3u8
CCTV13,http://183.92.4.163:4000/udp/228.0.0.202:6108
CCTV13,http://222.241.154.37:9901/tsfile/live/23013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://60.6.255.8:2180/live/cctv14/index.m3u8
CCTV14,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv14
CCTV14,http://222.223.118.222:2180/live/cctv14/index.m3u8
CCTV14,http://183.92.4.163:4000/udp/228.0.0.14:6108
CCTV14,http://222.241.154.37:9901/tsfile/live/23014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://60.6.255.8:2180/live/cctv15/index.m3u8
CCTV15,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv15
CCTV15,http://222.223.118.222:2180/live/cctv15/index.m3u8
CCTV15,http://183.92.4.163:4000/udp/228.0.0.15:6108
CCTV15,http://222.241.154.37:9901/tsfile/live/23015_1.m3u8?key=txiptv&playlive=1&authid=0
CGTN俄语,http://liveru.cgtn.com/1000r/prog_index.m3u8
CGTN法语,https://livefr.cgtn.com/1000f/prog_index.m3u8
CGTN西语,http://livees.cgtn.com/1000e/prog_index.m3u8
CGTN阿语,http://livear.cgtn.com/1000a/prog_index.m3u8


✨MTV视频👉全网,#genre#
热舞_丽江恋,http://www.cpmp3.com//mvcz/cm001/avi-%E4%B8%BD%E6%B1%9F%E6%81%8B-%E8%88%9E%E6%9B%B2%E8%A7%86%E9%A2%91.mp4
热舞_你幸福,http://www.cpmp3.com//mvcz/cm001/avi-360%E5%BA%A6%20-%E4%BD%A0%E5%B9%B8%E7%A6%8F%E6%88%91%E6%89%8D%E5%BF%AB%E4%B9%90dj%20-%20%E7%8E%8B%E5%BB%BA%E8%8D%A3-%E5%BF%83%E6%98%8E.mp4
热舞_爰是什么,http://www.cpmp3.com//mvcz/cm001/avi-%E6%B1%BD%E8%BD%A6%E9%9F%B3%E5%93%8D%E6%94%B9%E8%A3%85%E7%83%AD%E8%88%9E%E7%BE%8E%E5%A5%B3-%E7%88%B1%E6%98%AF%E4%BB%80%E4%B9%88%E3%80%90%E5%88%98%E6%B2%9B%E6%B4%8BVS%E9%AB%98%E5%AE%9D%E5%AE%9D%E3%80%91dj%E9%98%BF%E8%BF%9C.mp4
热舞_放开你的手,http://www.cpmp3.com//mvcz/cm001/avi-%E7%BB%BC%E5%90%8897op%E6%80%A7%E6%84%9F%E7%83%AD%E8%88%9E(%E6%94%BE%E5%BC%80%E4%BD%A0%E7%9A%84%E6%89%8B).mp4
热舞_一声高歌,http://www.cpmp3.com//mvcz/cm001/avi-360%E5%BA%A6%20-%E5%88%98%E5%90%91%E5%9C%86dj(%E4%B8%80%E5%A3%B0%E9%AB%98%E6%AD%8C%E4%B8%80%E5%A3%B0%E7%88%B1)-%E5%BF%83%E6%98%8E.mp4
热舞_说谎的眼泪,http://www.cpmp3.com//mvcz/cm001/avi-360%E5%BA%A6%20-%E4%BB%BB%E5%86%9B%E5%A4%AA_-_%E8%AF%B4%E8%B0%8E%E7%9A%84%E7%9C%BC%E6%B3%AA-%E5%BF%83%E6%98%8E.mp4
热舞_淘汰,http://www.cpmp3.com//mvcz/cm001/avi-360%E5%BA%A6%20%E7%BE%8E%E5%A5%B3%E7%83%AD%E8%88%9E-%E6%B7%98%E6%B1%B0dj%20-%20%E9%99%88%E5%A5%95%E8%BF%85-%E5%BF%83%E6%98%8E.mp4
热舞_几个你,http://www.cpmp3.com//mvcz/cm001/avi-%E7%B2%BE%E5%93%81%E7%BE%8E%E5%A5%B3%E7%83%AD%E8%88%9E%20--%E8%96%9B%E4%B9%8B%E8%B0%A6-%E5%87%A0%E4%B8%AA%E4%BD%A0-%E5%BF%83%E6%98%8E.mp4
热舞_大哥好久不见,http://www.cpmp3.com//mvcz/cm001/avi-%E8%BD%A6%E8%BD%BD%E7%83%AD%E8%88%9E%E6%B4%BE%E5%AF%B9%20-%20%E5%A4%A7%E5%93%A5%E5%A5%BD%E4%B9%85%E4%B8%8D%E8%A7%81%20-%20%E9%AB%98%E9%98%B3%20-%20%E8%BE%B0%E5%AE%87.mp4
热舞_想定下来,http://www.cpmp3.com//mvcz/cm001/avi-%E6%83%B3%E5%AE%9A%E4%B8%8B%E6%9D%A5-%E8%BF%AA%E6%96%AF%E7%A7%91%E8%88%9E%E6%9B%B2%E8%A7%86%E9%A2%91.mp4
热舞_兄弟为你,http://www.cpmp3.com//mvcz/cm001/avi-%E5%85%84%E5%BC%9F%E4%B8%BA%E4%BD%A0-%E4%B8%AD%E6%96%87dj%E8%88%9E%E6%9B%B2%E8%A7%86%E9%A2%91.mp4
热舞_当你孤单,http://www.cpmp3.com//mvcz/yd003/avi-%E9%85%92%E5%90%A7%E8%83%B8%E5%99%A8%E7%9A%84%E8%AF%B1%E6%83%91%E7%83%AD%E8%88%9E-%E5%BC%A0%E6%A0%8B%E6%A2%81-%E5%BD%93%E4%BD%A0%E5%AD%A4%E5%8D%95%E4%BD%A0%E4%BC%9A%E6%83%B3%E8%B5%B7%E8%B0%81-%E5%85%89%E9%9F%B3%E5%9D%8ADj%E4%BC%9F%E4%BC%9FMix.mp4
热舞_幸福快乐,http://www.cpmp3.com//mvcz/cm001/avi-360%E5%BA%A6%20-%E4%BD%A0%E5%B9%B8%E7%A6%8F%E6%88%91%E6%89%8D%E5%BF%AB%E4%B9%90dj%20-%20%E7%8E%8B%E5%BB%BA%E8%8D%A3-%E5%BF%83%E6%98%8E.mp4
热舞_死心塌地,http://www.cpmp3.com//mvcz/cm001/avi-%E8%BD%A6%E8%BD%BD%E7%BE%8E%E5%A5%B3%E7%83%AD%E8%88%9E%E6%B4%BE%E5%AF%B9%20-%20%E6%AD%BB%E5%BF%83%E5%A1%8C%E5%9C%B0%E5%8E%BB%E7%88%B1%E4%BD%A0%20-%20%E9%97%A8%E4%B8%BD%20-%20%E8%BE%B0%E5%AE%87.mp4
dj舞曲,https://txmov2.a.kwimgs.com/upic/2023/01/03/07/BMjAyMzAxMDMwNzQ3MTBfODgyMDEyODA4XzkyNjMyNDYyMDE1XzJfMw==_b_B76bd60fa8ab0807a3b66da4df7e23bbe.mp4
别知己,https://vd3.bdstatic.com/mda-pjpmxj8nps7esymw/576p/h264/1698161340027041596/mda-pjpmxj8nps7esymw.mp4
极品抖奶车载DJ,https://vd3.bdstatic.com/mda-pm59vs35hc1xpf97/sc/cae_h264_mcsic/1701898696264891171/mda-pm59vs35hc1xpf97.mp4
好听情歌DJ,https://vdse.bdstatic.com//b9c765ede94b5d2bac8cb2a9afc70488.mp4
彩虹的微笑,https://vd3.bdstatic.com/mda-padibrajpnmvbamf/sc/cae_h264/1673701311317842894/mda-padibrajpnmvbamf.mp4?pd=19&vt=1
